"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"ANXA2__pos"	3.4733668043771	0.861967161063642	1.42994197280174	5.89047910477462	2.22044604925031e-16	3.38172383884955
"C14orf166__pos"	3.70155945942541	5.38602773795055	2.22044604925031e-16	4.81555354092298	3.99544531602999	2.22044604925031e-16
"CD74__pos"	1.23621005235736	2.22044604925031e-16	2.22044604925031e-16	0.69312333482903	3.21385646494789	9.64613468289831
"CEBPA__pos"	2.76591143477285	5.47933913775188	7.86807416917329	2.22044604925031e-16	2.22044604925031e-16	0.978549623975993
"CHI3L1__pos"	2.22044604925031e-16	8.43304238166063	7.00173353107531	1.71815445031072	2.22044604925031e-16	2.22044604925031e-16
"CSF2RA__pos"	4.7321547395632	3.51216171628471	6.51702857162284	2.22044604925031e-16	4.73839018904326	2.22044604925031e-16
"CTSH__pos"	2.25162073418623	2.22044604925031e-16	2.22044604925031e-16	4.5733187766967	4.22017067893899	6.311615177706
"FABP3__pos"	4.85675874957641	6.59398435970364	2.41577975803006	0.686913051863005	2.04441774485009	2.22044604925031e-16
"FUCA1__pos"	3.65607303587642	5.80476206015988	1.61630811548318	1.89912259218789	2.16573847543858	0.25364412969005
"HLA.B__pos"	2.17608373019554	0.0454504171197784	2.71685756585003	4.5736764853574e-15	6.12535649009062	5.76032797977787
"IER3IP1__pos"	2.57870525009452	5.70234709372154	2.22044604925031e-16	4.18512989957035	5.16509086803576	2.22044604925031e-16
"IGSF6__pos"	2.6527008630146	4.81012849850299	3.31429469984392	1.60231887335097	2.22044604925031e-16	2.71904419931088
"IL13RA1__pos"	2.22044604925031e-16	5.30820461510419	3.21999743990439	3.22421668009618	5.78421020152346	2.22044604925031e-16
"IL2RG__pos"	0.359764219707146	1.55095911193375	5.54343074638789	1.62287220638471	4.91652681466185	2.97547257668243
"ISOC2__pos"	6.31581911146985	3.88418782418887	5.69078009134009	1.61345383838319	2.22044604925031e-16	0.700607691304908
"KRTCAP2__pos"	3.5375495008098	6.63072652355355	2.22044604925031e-16	6.02880937565886	1.99698190674985	2.22044604925031e-16
"LITAF__pos"	2.22044604925031e-16	7.49661663710435	2.38347423396407	5.08999837952522	0.302632208837785	0.233889999137152
"MRPL33__pos"	4.3260572255376	6.01725603082721	2.22044604925031e-16	2.3727873381639	4.58928288095926	0.206925284488049
"PLA2G2D__pos"	0.953790008060085	8.37249922327273	5.4471909391049	2.18676683898327	2.22044604925031e-16	2.22044604925031e-16
"PLCL1__pos"	0.361043632518562	1.97346162025311	2.68779993753512	4.85862538145059	7.33510524064788	0.49431921505674
"PPARGC1B__pos"	3.90145095725037	4.14502569476003	7.35436461848009	0.406547663637965	1.07044046601367	0.533750975819535
"PPIA__pos"	2.22044604925031e-16	0.330318176187955	9.09977323833926	2.22044604925031e-16	2.34891536290713	4.80809996310832
"PSMC2__pos"	5.35010013346681	7.74897664838857	2.22044604925031e-16	2.22044604925031e-16	1.48001628143484	0.9253854719277
"PSME1__pos"	8.98844367395095	6.37960791523615	2.22044604925031e-16	2.22044604925031e-16	0.81690000661355	2.22044604925031e-16
"RAB42__pos"	2.6960063458148	5.41187435442874	7.78402541242627	1.02312554906637	0.605431968092793	2.22044604925031e-16
"RPN2__pos"	2.44219233884807	6.37594583424714	1.19114742984257	4.49803674642564	1.28429860808366	2.22044604925031e-16
"S100A11__pos"	4.65679603722168	2.22044604925031e-16	4.26717342251893	2.22044604925031e-16	5.92192078043955	4.57566087808809
"SDC4__pos"	2.22044604925031e-16	6.69701382894845	4.93094723613197	5.12188183559101	2.22044604925031e-16	0.651649425883116
"SH3PXD2B__pos"	0.824918541441757	5.52836135961959	9.95795197149231	1.08909775736755	2.22044604925031e-16	2.22044604925031e-16
"SLAMF7__pos"	3.79231421557673	0.453310475116188	0.100675058740915	1.52219106592943	4.27829025413358	5.80449048375749
"SLC41A2__pos"	1.13203372512659	5.39906976239859	5.29644460032107	2.99152670417243	1.57804031217637	0.412284492731967
"SOD1__pos"	6.27065656373872	5.18208915006607	2.22044604925031e-16	1.04755033312723	3.44604822829648	2.22044604925031e-16
"SQSTM1__pos"	2.96632592974769	6.83536867616687	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.48435765242149
"TM9SF4__pos"	2.12296126004743	4.11255133462253	0.387979052603037	0.101400032762603	5.58035921707086	2.82669023880891
"TMEM176A__pos"	2.5175693275962	2.22044604925031e-16	2.22044604925031e-16	0.668163457322272	3.8240587689432	7.97506793235572
"ZNF438__pos"	0.927672508367562	5.18252727042101	6.94535622083423	0.570262174113181	1.93350055991976	0.630367312601828
"ALAS1__pos"	4.03853162136292	7.62339025977482	1.33160766319974	2.10107238416003	2.22044604925031e-16	0.612504360003519
"ALOX15B__pos"	3.88288370531796	6.70782243495269	6.0450594376619	0.495774085356677	2.22044604925031e-16	0.148605951559443
"ARHGDIB__pos"	1.19139458484604e-14	0.0855426298347577	9.53123013995921	2.22044604925031e-16	2.22044604925031e-16	6.78639798749559
"ATOX1__pos"	3.8489099888974	0.975934317456952	2.61149251958693	3.2747086727294	4.39661064983771	1.92199778725076
"ATP5J2__pos"	6.83473739766507	5.49633240901889	2.22044604925031e-16	3.7591137561934e-08	1.92490672337624	1.13786580386373
"B2M__pos"	5.98394828211669	2.22044604925031e-16	3.67745073440678	4.79208542130753e-05	2.26640842271606	3.21173597363565
"C2__pos"	0.486539006829879	2.22044604925031e-16	2.22044604925031e-16	3.1497491844539	7.21139035569905	5.84818760889978
