"LP20"	"LP23"	"LP27"	"LP32"	"LP35"	"LP39"	"LP42"	"LP48"	"LP49"	"LP67"	"LP91"	"LP92"	"LP97"	"LP100"	"LP103"	"LP104"	"LP106"	"LP109"	"LP110"	"LP03"	"LP12"	"LP15"	"LP17"	"LP19"	"LP21"	"LP25"	"LP26"	"LP28"	"LP29"	"LP31"	"LP41"	"LP44"	"LP46"	"LP47"	"LP54"	"LP55"	"LP60"	"LP62"	"LP63"	"LP64"	"LP69"	"LP72"	"LP79"	"LP90"	"LP113"	"LP114"	"LP117"	"LP118"	"LP119"
"TBC1D12"	1.26488119328133	0.645661267108819	1.02666238342922	0.561012656427925	1.39393376320035	1.43671159537259	1.89123029046308	1.23355166040908	-1.1261896318857	1.02461687319603	0.529853444800918	1.06677612671026	1.39687124251553	1.48728347751092	0.541966560408457	0.610188644509021	0.550583840213282	0.547901266404142	1.13949123447052	-1.21086250581009	0.163561279435609	0.656287468998773	-0.695619038824889	0.652676513295385	-0.279693115297728	0.852886506618961	1.6119107741633	0.646733087078845	0.549804047789578	0.529204271299491	-1.34046308511216	1.95935363196177	-1.09580811666263	-0.358385318365114	0.622032275801573	0.748223449827954	0.7010818654052	0.523081479007947	-0.536871500846169	0.924227175600216	0.0892546954746911	0.834749826854361	0.65881297088687	0.288444518642075	0.660542172062857	0.458808461475983	-0.131786625191293	-0.470985372029694	0.984956248235694
"MS4A7"	0.863846599117052	0.636024312959838	0.963168227777447	1.09314250274135	1.69884120168789	0.755835894112892	0.87471705148949	0.994011241334024	0.798368801626881	0.948485420525042	1.12146007454797	0.917117293343782	0.952718034179671	-0.0901062515176205	1.09998001119957	1.25946495812793	-0.147039291550038	1.05768743490784	0.677463234247823	0.180266999754855	0.618851996152947	-0.659121379761314	1.0035943299079	-0.760054981273484	1.04046615311031	0.805312081304612	1.66116030198952	-0.603720581478395	0.858423077241332	0.812821451837762	0.718209451090363	1.21830907815566	-1.70951648103025	0.405925807123653	0.563557364534204	-0.228492078096459	1.51125619442765	1.34318397688505	0.772511711308051	0.998451024743149	-1.03147941469078	0.977644809782573	-0.678115739894715	-0.686025944428183	-0.824559553947606	1.00913368969397	0.56515349304006	-0.511594431778014	0.607420270549016
"ZEB2"	-0.103067175209795	0.443489353375095	0.795332208365795	0.735209887707945	1.65913207447443	1.73749160595081	0.769534773578919	1.25505949326912	0.671340476816496	-0.838378588340066	1.04942125818341	1.03864103698767	1.39671237120054	-0.789562679024617	0.638313683375272	2.10735784795705	0.542699100973213	1.55076049542857	0.922696754069075	1.06173324388689	-1.2730852335439	-1.19219196184347	0.547587713508818	0.527404849986593	0.964198564015238	1.20189103482978	1.49254711586334	0.0930897496064408	0.361131551852838	0.53577696097995	0.0230857425369599	1.71989480362861	0.0937280439340823	0.907215421895733	0.676889733789703	0.942792207869387	1.15837374710444	0.707103370555694	0.801998834240743	0.70934909975572	0.748544194382829	-0.510608841157168	-0.988396482119844	0.735402522703419	0.898768900232478	1.14131076928613	-1.1347455702916	-1.20790159058645	0.503939805453261
"RHOQ"	0.943623041206115	0.887535576434347	-0.514503683851965	1.35146588547477	0.808307839769688	1.604468649238	0.842308609676063	1.20197383668698	-0.123710372703251	1.14687683811794	1.25262657012911	1.18755577260094	1.39454942801628	1.53684582473274	1.47607088543643	-2.44820563548566	1.1994676750415	1.01907452605594	0.812769427934983	-0.875448485287464	0.0401125778335731	-0.587623773959302	0.878355578834148	-0.325417910264512	-0.186524387849291	1.212086295301	1.29314540815508	1.34428366422251	1.43889162116862	0.896302439804793	0.545762157014807	1.09389007232461	-0.579424615932715	0.724894697363991	-0.183120368948383	0.741223071692665	1.0551776974075	-0.226547308637537	0.464150726789767	-0.766470597951086	0.628414645920714	0.903127955573635	-0.611278724036326	1.17269328841435	-0.902236650196733	-0.178300924401642	0.689864388909014	-0.351790944404242	0.302366944156954
"IQGAP1"	-1.028533175111	1.58188015866476	0.810398532939694	1.08320859975291	1.37462700663069	0.798939048998107	1.43714293567784	0.807959453119935	1.28682439660519	0.589453298544363	0.991807009681946	1.46068094311096	1.36843505165512	-1.07430002098131	-0.115604923234799	0.917603603714531	1.03736915621982	1.46660040451526	-0.427727558382335	-1.16614181305212	0.666706421909302	-0.968870228502485	0.740227236937427	1.08683543709406	1.23540548734752	-0.78808244571472	0.266806660606419	-0.0664845473894743	-0.378792167449378	0.695661729516975	-0.852568465736563	1.0953417511593	0.946381206353202	-0.934668038471525	0.98026734360125	0.719341572531068	0.997461757159974	0.983544687843777	1.62832971698394	0.963074862748636	-0.334827829045777	1.15030019411235	-0.482138694376495	1.3274810942143	-1.21885353021364	1.19496481745962	0.977638838120533	-0.155059843100743	-1.00640936279007
"SLC30A1"	0.720397293520989	1.25536149200872	0.169005371277607	0.908414523837919	1.10461260881271	0.498986582604006	0.718090867774136	-0.280494379319703	0.697453960565358	0.747192192761399	0.973977324848155	-0.00847006197603555	1.36096893634849	1.11567836987111	0.821425348657282	1.284453917161	0.174076125752856	1.1407761615052	0.885036716683628	-1.30126881548522	-0.687870989114977	-0.663922607562141	0.804997518588643	0.213258443222233	1.0084332754473	0.552611756561919	1.42843650960384	0.441262082181253	0.922722784298768	0.587400058420019	1.28751926302172	1.67629792427687	0.465226980235895	0.559827278681986	-0.429283259945019	0.168837185752284	1.40798169820875	-1.11232848228279	1.47121449223487	-1.1713869432425	0.404137006730474	0.901095809837758	1.2782566192296	0.477025917359797	0.139736629542084	1.10605182034863	0.505230125859461	-0.706934536977105	1.40401600567438
"GCH1"	1.51311469475252	0.530197261171092	0.144084801071969	1.35423818749455	0.780585645537568	-1.08441794116426	1.38184469960557	1.43329960577179	1.03584114447909	0.82126563329416	0.649750387406928	0.393648159403633	0.859719010507724	0.493139939312849	0.901239777018674	1.95935103391119	-0.186582846434786	0.95288134345517	0.338224239558	-1.09179296624645	0.121394485632946	0.44059642797197	1.32657558118605	0.234268689094074	1.96391932784374	0.86685423081688	0.554406910339823	0.756520177865433	0.678304734835062	1.87351080270595	0.40764783811751	0.464591514042525	1.88622913554432	0.706542827563891	0.0267690446927961	-0.197914931902537	1.68563045341321	0.00827596822199691	1.39567177387594	-1.06489855273833	0.384412817184451	0.0123614718446413	0.137674509058865	0.0995579269520846	0.445383154352196	0.599930550194882	0.75427456751632	-0.178947843911749	-0.453309333802427
"FNDC3B"	1.07426460490264	0.214586645930286	0.982750955341765	0.690794932204036	1.94976030102388	0.498688472201558	-1.15889828908486	2.17079732772321	0.724794195071838	1.92442236981768	0.622481006037138	0.843170433247339	1.48951879050539	0.393341866180179	-0.999455865801168	0.455092253443024	0.370691756055522	0.661426753288367	0.437216599291525	0.6083654617826	-1.08483755151429	0.93176964597504	0.452331388306491	0.72465553580173	-0.333645988166302	-0.248797015928977	1.14391160688369	0.58330249707009	0.664634442011965	-1.42842391605441	1.20451325652651	2.04320229325996	0.680350403365224	-0.939000543487726	-1.33910064634313	0.804840611684197	1.11785383571874	-0.43175114912422	0.51670790492249	1.82160871299517	0.646457072727612	0.50179906676465	0.498911574671881	0.660525136205751	0.807863386329289	-0.380970443731547	-0.634518826588905	-1.36192863917918	-0.817568139549139
"ITGB2"	0.993954107902725	0.858109675049359	-1.22524394265032	1.24488634870358	0.46764331795683	-0.448822864878474	1.57120425062507	0.318004580939601	-0.81646376491625	1.73830144949676	0.208208878216345	1.90268757554866	0.3239920474249	1.12294659719064	1.44075388326467	0.270692970538448	1.43694156335876	1.69887331458994	0.0873184044893163	-1.32205944361858	-0.968711433540245	-1.88113019226456	-0.488148492912622	-0.921446584864525	-1.56071366959803	0.448328441774414	-0.491117118526082	0.00560185593966382	-0.484271997003912	-2.30250104904571	0.0930558448405406	0.804877953733653	0.567517624414327	-1.11342757470151	-1.6664212607527	-1.55532864486779	-1.35487377560735	-1.28532213018517	-1.26096644606983	-0.232893857535964	-0.814561576316657	-0.543712448997077	-1.02349700303627	0.00371076329055027	-2.09042475432099	0.336112124393937	0.34429614487912	-0.825094693102249	0.016436437549733
"IRAK3"	1.79751087599794	0.51285184527443	1.02219804056662	1.35589891320074	2.61189309577775	0.540159378218384	-0.725408568143645	-0.18216351464997	0.0238577676417369	0.206679543008205	0.990298063979538	0.570778054043791	0.634485296482562	-1.34174906019681	1.51548393282277	1.76825930041705	-1.25719908229944	1.31679767577732	0.843632480609491	0.23410377139258	-0.485964654411129	-1.42982970276786	1.18605278278254	-1.740750416622	0.513021427615691	0.912910449594037	-0.0824752811601381	0.019565957261748	1.46438285721384	-0.966086063199626	0.242406850271023	0.896043558301707	0.22235424119944	0.677518970336211	-1.41216576392011	0.301958760344931	0.992112379479521	1.70155099568181	1.15128700893124	-1.24555886942887	1.09346711573923	0.394655935576	-0.594567708722799	0.904459600846873	1.73625380466599	0.961484376908833	0.538373356352616	0.684259217706722	1.12692132084564
