"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"RPL38__pos"	2.09595278876074	2.22044604925031e-16	2.22044604925031e-16	13.9923717666386	2.22725967534416	1.57592940038622
"RPL27__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	14.9392115924418	3.19675304643444	1.77599829708851
"AC009977.1__pos"	10.6602823646714	2.22044604925031e-16	2.22044604925031e-16	8.11868534530084	0.980213305928913	6.20657162954669
"ATP6V1A__pos"	9.7571441990613	0.909336015960277	2.92216683784581	5.62545960454105	2.17992010735669	1.70676234619398
"CXCL13__pos"	6.92144505729042	2.22044604925031e-16	1.37004707980538	9.35933905476505	2.22044604925031e-16	5.00387334131194
"GIMAP7__pos"	2.38424346513636	2.22044604925031e-16	2.22044604925031e-16	6.39228759976198	5.50962754172894	4.33488193175705
"GJB7__pos"	6.58211740865504	0.897255990181765	2.22044604925031e-16	4.66513406391857	8.13468544873296	8.51724540105424
"ZBTB16__pos"	5.45806626997806	3.76484923834386	1.17823387810833	2.94399445087492	5.74826251021714	6.52317585814942
"RPL21__pos"	2.51981955140582	2.22044604925031e-16	2.22044604925031e-16	13.646016335085	4.56842562062101	2.22044604925031e-16
"RPL17.C18orf32__pos"	12.5020343796932	1.67178267174473	2.22044604925031e-16	4.20283295709859	2.22044604925031e-16	1.78890752669564
"GNPNAT1__pos"	9.40544137392683	2.22044604925031e-16	0.947536985651569	5.33164587960981	7.6782876333576	1.9308013257964
"B3GAT1__pos"	6.60165520580718	2.18875258698575	2.22044604925031e-16	2.66106542220414	2.46211622043669	12.6844626494639
"PARK7__pos"	2.57508707943189	5.77916099947564	2.22044604925031e-16	10.9882254484715	3.39051430661792	3.24707763569227
"NEURL2__pos"	4.7296862338394	0.697918761769877	2.22044604925031e-16	3.21531702478508	4.65625265637144	12.5874062150115
"CXCR4__pos"	6.56257028368884	2.22044604925031e-16	4.00040762740562	6.19462523871926	2.16998599159085	3.46932679700604
"LSMEM1__pos"	10.8115453819593	2.2122837261302	1.05914789483418	2.22044604925031e-16	4.52983235423276	6.71575786823228
"NAP1L2__pos"	8.80716924343543	1.16163468136877	2.22044604925031e-16	7.69433923614187	2.50763779197977	5.10749195009879
"POLR3G__pos"	6.03906722636637	3.97726912745151	2.22044604925031e-16	5.38294963763725	8.7478960278877	3.16167497847547
"RAB9B__pos"	9.54460933709183	2.22044604925031e-16	2.22044604925031e-16	4.02813986841452	2.57896763734371	11.129497517206
"ADH1B__pos"	9.518132922553	2.46067293795252	2.22044604925031e-16	5.19652477503339	4.17897878110504	4.50279165923568
"CABP4__pos"	5.7253875569343	0.566250330793873	2.22044604925031e-16	1.60691978978808	5.84118549415724	9.3849601406597
"BAIAP3__pos"	4.42768867321715	1.88885810436226	2.22044604925031e-16	2.93196167101218	5.03603020516186	10.5136114419559
"PPDPF__pos"	2.22044604925031e-16	8.71339481022128	1.26985573332098	11.5755867611667	3.30886146283876	3.69096662046152
"AC074033.1__pos"	3.33506373497948	2.22044604925031e-16	2.22044604925031e-16	15.8160266782176	6.24909226303252	0.185740951809366
"SNX7__pos"	7.80251267949219	0.826420286659921	2.22044604925031e-16	9.32220998682605	4.87495143782466	3.54576090316766
"OR56B1__pos"	5.6557212368236	0.321999218381586	2.22044604925031e-16	7.34828240819852	1.53678457696367	9.98904939088399
"DDX3Y__pos"	11.2295735101394	0.10733585716268	1.08330159650935	4.69447574812135	0.895694003376454	4.53645862339905
"MAF1__pos"	2.22044604925031e-16	3.80671738756863	2.22044604925031e-16	2.3962460928218	7.4515984442651	11.7293395834607
"IL32__pos"	2.21513061825677e-10	2.22044604925031e-16	2.22044604925031e-16	13.843090589808	4.22994877557077	8.29702072734361
"TAS2R20__pos"	12.5296076824198	2.22044604925031e-16	2.22044604925031e-16	1.1381958695882	2.22044604925031e-16	8.1018663099349
"RPL35__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	14.158316825799	6.50019931732504	3.6704959462012
"ARPC1B__pos"	2.22044604925031e-16	8.86580808372935	1.09791300800504	5.19371917571755	5.40222773600785	8.99590562611359
"CCDC62__pos"	6.87373877957544	1.98686177979347	2.22044604925031e-16	3.52617260356015	5.8136087139413	8.62505907609064
"CCDC71__pos"	2.33375103228372	2.22044604925031e-16	2.22044604925031e-16	5.27635914096022	6.82767299398589	9.82454376709184
"TSHR__pos"	3.16352854198502	2.56736898635228	2.22044604925031e-16	5.31122116007092	3.07735545874475	10.8754676325541
"ACTN1__pos"	6.40881206244198	9.92583844357912	2.22044604925031e-16	2.22044604925031e-16	6.0661441946392	5.24395613159809
"ZBED6__pos"	12.3173638474133	2.22044604925031e-16	1.14414225020234	1.53022428989189	2.22044604925031e-16	2.93042229053602
"IL12RB2__pos"	5.35207764949771	1.3722001003925	0.171612491897603	7.25722349496489	5.21106132842976	6.09150475328443
"IFRD1__pos"	10.8049177524706	6.05547041578446	1.22485016303727	2.22044604925031e-16	2.22044604925031e-16	8.77847021400174
"NPIPA8__pos"	7.05330069841792	1.67859263632829	2.22044604925031e-16	3.77852129205279	1.03994770924825	10.1346137265886
"CENPF__pos"	7.57326189260182	2.22044604925031e-16	1.06904368567187	3.49021790484073	6.33913917390486	8.32944528195672
"ZCCHC17__pos"	4.88833288437468	1.12431973445147	2.22044604925031e-16	6.78759264099399	8.83796297816855	3.59615061430731
"ATG13__pos"	8.43435716072697	2.22044604925031e-16	1.50228453454189	2.22044604925031e-16	6.68667353047845	4.661069114107
"SPCS2__pos"	5.57863667340377	2.22044604925031e-16	2.22044604925031e-16	12.9257547882838	7.64858784588194	1.56623205896385
