"ID"	"State"	"InitialState"
"75"	"LP01"	"S01"	"IS05"
"76"	"LP02"	"S01"	"IS05"
"77"	"LP03"	"S01"	"IS05"
"78"	"LP04"	"S01"	"IS05"
"79"	"LP05"	"S01"	"IS05"
"80"	"LP06"	"S01"	"IS05"
"81"	"LP07"	"S01"	"IS05"
"82"	"LP08"	"S01"	"IS05"
"83"	"LP10"	"S01"	"IS05"
"84"	"LP11"	"S01"	"IS05"
"85"	"LP13"	"S01"	"IS05"
"86"	"LP64"	"S01"	"IS05"
"1"	"LP27"	"S02"	"IS01"
"2"	"LP28"	"S02"	"IS01"
"3"	"LP29"	"S02"	"IS01"
"4"	"LP32"	"S02"	"IS01"
"5"	"LP33"	"S02"	"IS01"
"6"	"LP34"	"S02"	"IS01"
"7"	"LP35"	"S02"	"IS01"
"8"	"LP40"	"S02"	"IS01"
"9"	"LP42"	"S02"	"IS01"
"10"	"LP44"	"S02"	"IS01"
"11"	"LP45"	"S02"	"IS01"
"12"	"LP48"	"S02"	"IS01"
"13"	"LP49"	"S02"	"IS01"
"14"	"LP79"	"S02"	"IS01"
"15"	"LP90"	"S02"	"IS01"
"16"	"LP91"	"S02"	"IS01"
"17"	"LP92"	"S02"	"IS01"
"18"	"LP94"	"S02"	"IS01"
"19"	"LP95"	"S02"	"IS01"
"20"	"LP97"	"S02"	"IS01"
"21"	"LP98"	"S02"	"IS01"
"22"	"LP103"	"S02"	"IS01"
"23"	"LP106"	"S02"	"IS01"
"24"	"LP107"	"S02"	"IS01"
"25"	"LP109"	"S02"	"IS01"
"26"	"LP114"	"S02"	"IS01"
"87"	"LP19"	"S03"	"IS06"
"88"	"LP25"	"S03"	"IS06"
"89"	"LP26"	"S03"	"IS06"
"90"	"LP31"	"S03"	"IS06"
"91"	"LP37"	"S03"	"IS06"
"92"	"LP39"	"S03"	"IS06"
"93"	"LP41"	"S03"	"IS06"
"94"	"LP47"	"S03"	"IS06"
"95"	"LP50"	"S03"	"IS06"
"96"	"LP51"	"S03"	"IS06"
"97"	"LP52"	"S03"	"IS06"
"98"	"LP53"	"S03"	"IS06"
"99"	"LP54"	"S03"	"IS06"
"100"	"LP55"	"S03"	"IS06"
"101"	"LP58"	"S03"	"IS06"
"102"	"LP60"	"S03"	"IS06"
"103"	"LP61"	"S03"	"IS06"
"104"	"LP65"	"S03"	"IS06"
"105"	"LP110"	"S03"	"IS06"
"106"	"LP111"	"S03"	"IS06"
"107"	"LP113"	"S03"	"IS06"
"108"	"LP116"	"S03"	"IS06"
"109"	"LP119"	"S03"	"IS06"
