"IS01"	"IS02"	"IS03"	"IS04"
"AGR2__pos"	1.89706870715731	7.06192408900938	2.22044604925031e-16	0.168691400933912
"ASPN__pos"	0.97918973898225	3.61418928216212	0.113801430509107	2.74787055635483
"C1orf53__pos"	2.85400737337274	6.42441029136677	2.22044604925031e-16	9.95849070555863e-06
"C1S__pos"	0.953704563196047	3.05408894018962	2.5096766744851	2.07810872014519
"CADPS2__pos"	1.45834762279085	3.13756409084435	2.06272853726921	1.55453334865963
"CATSPERD__pos"	2.68151577650042	6.7484731201672	2.22044604925031e-16	2.22044604925031e-16
"CCDC173__pos"	1.3159781940325	7.53741155486857	2.22044604925031e-16	2.22044604925031e-16
"CCDC8__pos"	2.22044604925031e-16	6.87642373740763	2.22044604925031e-16	0.533032738440113
"CFAP43__pos"	0.212717068583352	5.55250547829565	2.22044604925031e-16	2.52682254618424
"CHRDL1__pos"	1.02741944184642e-14	3.66817458457026	0.775830546998537	4.21498184686453
"CLEC14A__pos"	0.576415256836869	4.46206924524409	1.32869551001022e-14	3.42701337620046
"COL1A1__pos"	0.329317575047343	5.20372232450156	0.0310427997514369	2.23146580568582
"COL5A1__pos"	0.594860950186554	4.22019110935338	0.393129902870326	2.33892242543107
"COL6A3__pos"	1.71606675379133	1.93335953868024	1.84825362302611	3.11754582722271
"COL8A2__pos"	2.22044604925031e-16	3.81317292045972	1.55670482373252	2.32086487273502
"CPXM1__pos"	1.08238080872207	3.65595546566701	2.22044604925031e-16	3.22794987978878
"CXCL17__pos"	2.76092768700107	6.15553402927077	2.22044604925031e-16	0.420496253591286
"CYP1B1__pos"	1.2729058732823	3.66494563316919	1.50304225392281	2.53887287783453
"DYDC1__pos"	2.61255043978338	6.75821719767403	2.22044604925031e-16	2.22044604925031e-16
"ELN__pos"	0.418630384731083	5.39512509300307	2.22044604925031e-16	1.6019005432373
"FBLN1__pos"	0.671181620276716	4.36416194525044	0.594814722087244	2.40879503644714
