"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"HIST1H2AJ__pos"	1.76863677687505	0.557824375745473	2.22044604925031e-16	2.22044604925031e-16	6.87462692226851	9.45896300776164
"AKIP1__pos"	5.97484805736313	2.22044604925031e-16	3.8600409903621	3.30598175143377	4.33177950036361	3.0964327409285
"ARHGEF18__pos"	10.4433337280485	2.22044604925031e-16	0.118345546665474	1.58347786495046	4.76091464146595	1.23194790705497
"PGM3__pos"	8.34826404480469	2.22044604925031e-16	1.14466385050334	4.23057291118262	3.22758333887748	3.72592194709037
"CNOT7__pos"	6.14989695760994	2.22044604925031e-16	0.157777174145753	8.03403472563928	2.22044604925031e-16	2.29614204921886
"LMAN1__pos"	5.2905831300824	2.22044604925031e-16	2.22044604925031e-16	8.33708222258226	0.519582333107721	5.76319653563758
"DNAJC25.GNG10__pos"	3.59778916959959	2.22044604925031e-16	2.80080514181929	5.85417005662687	2.22044604925031e-16	8.05778217712331
"ZNF460__pos"	10.9945142072735	2.22044604925031e-16	6.01715092074444e-12	6.78296237975551	2.22044604925031e-16	2.22044604925031e-16
"POLB__pos"	6.08830807003665	2.22044604925031e-16	2.22044604925031e-16	8.33413154142814	2.19988907672335	2.40834759476741
"CDKN1B__pos"	8.66758692944606	0.408792392963621	1.37952192393432	2.8967318197712	4.47675654849065	3.15080171115999e-13
"ZC3H7A__pos"	6.51875133662453	0.199533738671103	2.63629417885334	6.91868285569969	2.22044604925031e-16	0.906654053728139
"ARID5A__pos"	10.6360311666212	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	5.69357811602975	2.57835957080246
"ST20.MTHFS__pos"	6.49372959503431	2.22044604925031e-16	2.22044604925031e-16	1.72159019355987	6.38568338221827	6.60825227028368
"HIST1H2AH__pos"	3.57144566019123	2.22044604925031e-16	1.46312885443544	1.09330580396166e-13	5.7320895688978	8.60686098372692
"RSRP1__pos"	8.26173647988703	2.22044604925031e-16	3.455846034396	8.47497887060243	2.22044604925031e-16	2.22044604925031e-16
"UHRF2__pos"	6.10590969182802	0.328143151285291	2.2320213774324	8.36337331947236	2.22044604925031e-16	2.22044604925031e-16
