"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP12"	"LP13"	"LP15"	"LP60"	"LP62"	"LP63"	"LP64"	"LP115"	"LP120"	"LP14"	"LP17"	"LP18"	"LP21"	"LP22"	"LP24"	"LP30"	"LP43"	"LP68"	"LP69"	"LP71"	"LP100"	"LP112"	"LP114"	"LP117"	"LP118"	"LP121"	"LP19"	"LP25"	"LP26"	"LP29"	"LP31"	"LP37"	"LP39"	"LP40"	"LP47"	"LP50"	"LP51"	"LP52"	"LP53"	"LP54"	"LP55"	"LP58"	"LP61"	"LP65"	"LP97"	"LP110"	"LP111"	"LP113"	"LP116"	"LP119"	"LP27"	"LP28"	"LP32"	"LP33"	"LP34"	"LP35"	"LP42"	"LP44"	"LP45"	"LP48"	"LP49"	"LP67"	"LP79"	"LP90"	"LP91"	"LP92"	"LP94"	"LP95"	"LP103"	"LP106"	"LP107"	"LP108"	"LP109"
"RPN1"	1.02802160635687	1.37599760101141	1.82537520353459	1.76946806890793	1.35219046189832	1.49950946213015	1.34258276597996	0.470715879825087	1.21991305607731	1.15646150301311	1.018189834891	1.43393144943904	1.44460695667707	0.84950230258633	1.18152440049736	1.29591556413014	0.841959529411466	1.34871059249609	1.32175705233429	1.23453201068504	1.18046138101248	0.620746923849196	0.699877047237895	0.526102091164395	-0.560640183231515	-0.376444242825127	-0.939776424223604	0.808527770551813	1.20492167653925	0.827259778746979	0.509778173661056	0.517511043115428	-0.175534548357403	0.723674237332202	1.60767083287941	-0.102587752689114	0.695129347044862	0.398390119585081	-0.923989369203568	0.130616021229827	0.0707425157354574	-0.502634226799115	-1.05104362635961	-0.288801681003289	0.385125917242325	-0.959894998157177	-1.28091142959241	-0.970452454709643	-1.47066396336992	0.672147445357384	-0.218504116733091	0.31795635031539	0.333314428056292	0.434693865235301	-1.08171141458064	-1.01188771229045	0.718038346887605	0.415786463252009	0.792418519246811	-0.380175817478472	-1.32290657874296	0.227932941997797	-1.37470908932302	-0.4367942642533	-0.350916107588842	0.64955029731516	-1.05709845248608	0.803139773196639	-0.270297562381811	-0.915888944800593	-1.27259855447726	-0.586389758990278	-0.53439849513064	0.326906774631989	-0.409080241643784	0.760123240756116	-0.277356959843752	-0.965682030275778	-1.10470859616453	-0.724224495242772	-1.26336336123339	-1.36163759338068	-0.386746973021869
"HIST1H1E"	0.622254261016864	1.16815902087013	1.13507837239225	1.08930957793027	1.19763317914528	1.24896174036714	1.09145711083892	0.535763271335348	0.98114780652771	1.22698446561993	0.50552262797509	1.09740694732939	0.519930393607885	1.08637568629823	0.990283009331975	1.24262644450926	1.16618880983046	1.13160437020386	1.22895548638704	0.998356587079602	0.658055016020552	-0.307730857275739	0.481335021986827	0.992533171581599	-0.0880042865684556	0.880942669672601	0.0574021178578854	0.87163593579569	0.505107575256066	0.875306758142295	0.211625034480674	0.66974268645069	-1.01950075310336	0.165319339586932	0.686757967033872	-0.723072949604662	0.400880631681996	0.786628679966803	0.640580892407193	0.737183361361288	0.526968981311116	0.723391795486393	-0.733261620741179	0.204896807761141	0.735951439743538	0.760982857067578	0.790994033508126	1.11747136239084	0.193527813608697	0.921499475699227	0.247709910869276	1.27297877219095	0.337927775551827	0.392109629813806	-0.432521933408354	0.821077800179776	0.889705892583237	0.572283878198729	0.909840211502232	0.330677756675013	-0.0978389836536383	-0.011200349839235	-2.06847104840504	-0.976096971507524	-0.500963784662261	-1.09542117428552	-1.38639141189733	-0.457458456875726	-0.520078487685607	-0.284415248998142	-0.0380587384296297	-1.47764223640056	-0.272549401950632	-0.289010963040158	-0.653739903326735	0.0537356626004092	-1.14417490958589	-0.532430552517498	-0.851065447994135	-0.265972344822496	-1.43313420718141	-2.57356942276296	-1.47638585845984
"EIF4A3"	0.812789464692203	0.822401786385901	1.17995358243447	1.17903852646731	1.05840716542985	1.21902549350383	1.04018235394497	1.00661616664178	0.93414819831321	1.1809346939312	0.769564367476085	0.84249072168693	0.624189965153799	0.855990692281343	1.07432124367234	1.26701652713838	0.882186456350447	0.925679283123668	0.928636086903148	0.775292169769063	0.709617960850221	-0.250765294785639	0.853970408797111	0.938501469400467	-0.570340991059458	0.489865485413807	0.774792391550902	0.854132484226581	0.68521047035002	0.649220005255243	-0.825190044884648	0.614243139533159	0.726753153828313	1.05994395287758	1.13747776070324	-1.2970717110312	0.824649015195028	0.850052313190174	-1.00363954671885	1.0288729205553	-0.25459472595431	0.655057972149233	-0.975358767058821	-0.0805847633863104	0.851089032481541	1.34290857030544	-1.50310952191436	-0.619438188691772	0.948658107073667	0.916519479989179	-1.05370001528313	-0.862370908049029	0.780146479638422	-1.07791712003339	0.0370773868728927	0.727377368756394	-0.339461336643366	-0.506166108657447	0.757567504388207	-0.974961148704895	-1.3028993081838	-0.472031158197924	-0.252746258574372	0.604098376841885	0.90078201831258	-0.750446475195086	-0.502856414925726	-0.773899126270853	-0.803727604734669	0.621683265491701	-1.22054358360266	-0.494598361675049	-0.796827016319431	-0.545637654742019	0.560568033920204	-0.428792788478144	-0.984985017259716	-0.783998348084831	0.583207922345749	-0.174593213493884	-1.04806329820112	-1.17409365964082	0.186661012348677
"PFN1"	0.872348814151051	1.01309634782313	0.99517280185254	1.26306633686189	1.16291689525298	1.44330713256918	1.46151462384895	0.258165092406293	0.288889717931806	1.24093651750063	0.573264563888786	0.734860937879537	1.17899294715756	0.811610808886429	0.968616992968767	1.16713277736078	0.978055216293259	0.689034193256641	1.21680363093193	1.19532479068	0.73998999058422	0.708985236416438	0.746124636908013	0.684259217445606	0.655521921530018	0.850998162299542	0.819453502699545	1.23333503573982	1.0626698954814	-0.437301721922968	0.965265843928794	0.602087432499575	0.469171754937975	-0.429504207991205	0.901343823922613	-0.109525644853749	0.948125913232789	0.7954740485954	-1.30039937448925	0.806488447417812	0.453556340684141	0.862470997212476	-0.94492332084895	0.795541769065448	0.372081520148545	-0.209139847830549	-1.77272211682102	-1.49300883851721	-1.43376048754006	-0.238999077746123	-0.562292235381122	-0.800620261979673	-0.682646526326541	0.87893445083321	-0.0957488202761441	-0.533324983070826	-1.2325291315039	-0.905042724896454	0.829986915182639	-0.814521360244669	-0.956108408062208	0.755969805878265	-1.39909967222899	-0.65720688292821	-0.0558538699163899	-0.477073412984105	-1.11578724249659	-1.06807598187535	0.216461589446916	-1.09025842542015	-0.980261865151733	0.600502915899788	0.554583636289231	-0.615618993449188	-0.622393801729344	-0.753652105653491	-0.13961833685539	-0.859902815310098	-1.14445331609284	-0.927856187254168	-1.42985394506221	0.614618630238062	-0.411704873393436
"MTG1"	1.09843781630476	1.24563634181634	0.716682718205398	0.676734382870946	0.755535234885826	0.893464010985717	0.631922336399126	0.78640889488655	1.2668566547058	1.38363191095289	0.749725585435591	1.03477527570812	1.30923917840438	1.28669505959592	0.768020417689715	0.85546129354696	0.648308301723768	1.00087749443932	1.05251521917994	-0.0656878028789161	-0.661861730383814	0.145549609863141	-0.816122337399137	0.833013055156472	-0.845973358894475	0.439187265823497	-0.951454170764505	-0.298747513213713	0.676043290717399	-0.915399797744486	-0.884481346952546	0.964925328166084	0.752425854239243	0.486674117594649	0.576389004067116	-0.0291424292486488	0.8489141056281	-0.684212170613984	0.793563383524548	-0.457515098192344	-0.105094737247362	1.26873722338921	-0.0622113818722264	0.0120498574810167	-0.878848454882204	0.879950323382455	0.642281190494942	0.945733623724324	1.41488388993677	0.822877721194831	0.584792940230234	1.55434665680039	1.34781110919447	0.65888452320299	-1.32714942244041	0.874550856926409	-0.516484152974084	0.771056866059601	0.648032353517247	-0.70271619774618	-1.58762456424225	0.57433712384045	-1.39773008531733	-1.32540836856715	-1.45509513143137	-1.04238912338828	-0.388195347408965	-1.39843939757287	-0.857963810498211	-1.22616590070684	-1.37065054896378	0.0817223786991674	0.626169069870758	-0.48439649596388	0.200575044976663	-0.48034877129676	-1.14606580792664	0.613536049380111	-0.900651239378144	0.591113309410252	-1.41325489990618	-1.54789356165294	0.154433718940644
"HIST1H4F"	1.0151061513858	0.806780578614029	0.992215140382272	0.772201772631417	1.06462899761132	1.43347044937906	1.07137162408211	0.854148230392462	0.702978708863782	0.80763989935706	0.914450980430421	0.892279903010005	1.24377226124845	0.731264462726854	0.882460724838869	0.675299318115884	0.868107840372703	1.1912330401201	1.22951569636143	0.866623416734853	0.826534401858069	0.777378219092152	0.836421616020382	0.765864241828088	-0.3113546144267	0.90870223489164	0.0831077987220872	1.33096491081334	0.923256368332091	0.837973852307262	0.884677134387403	0.739570896810978	0.678374735136561	0.686711560266588	0.973082529878725	-0.915598352813022	0.682142570126557	-0.706212408025784	-0.748750668830232	-0.820728169038568	0.780711155549007	-0.514443301871498	-1.31345259737585	0.704150742519962	-0.0774382716208566	-1.16197290338994	-0.876348250726416	-1.00501705768764	0.849809193412525	-0.967535216544374	-0.827483638657901	-0.903676446388955	0.0525383310870703	0.639735023905317	-0.566132771082679	-0.328032501561706	-0.558375321085788	0.224927787424536	0.975928013440929	0.66461470481138	-1.1924248824447	-0.731855482663664	-1.45334782385076	0.645516445866701	0.928208015129	0.761156017710984	-1.45814463781191	-1.06836360805947	-0.929412804755392	-1.173848381123	-0.972584016323604	-0.453999620840994	0.616973697700724	-1.21539200694231	-1.13679976265644	0.787837796871002	0.821598776265378	-0.0312133105192937	-1.23261766716391	-1.02138812784534	-1.70864456668656	0.805142091067272	-1.07687746514463
"PQBP1"	1.04199720190408	1.00619758191584	1.1134386942417	1.14569287165647	1.18209858042724	1.19327031209967	1.1385564387087	0.873089079402611	0.980782952247565	1.10246307303637	1.15041893948437	1.02541435431437	-0.171885007257857	0.977546074649388	0.728721276145842	0.731594477025367	0.780197724408786	1.00160910646835	1.01147529951248	0.701450507243048	0.623816674292532	-0.586742305788561	0.908957300714501	0.916283702119274	0.528449291743391	0.771307614372269	-0.0985443835233243	0.899591808337555	0.482668098842733	1.07358064515825	-0.257752880377567	0.488326862943911	0.717051830362027	0.799086073172136	0.826118429846216	-0.890126990869604	0.94135481652772	-0.745884839449119	0.683850219577807	-0.533718853450646	0.749484822121285	0.733996742812764	0.639274486883265	0.435907809553035	-0.244900925848988	-0.511672910832842	0.907642733953583	-0.589032649441076	-1.41184926738792	0.880552762104656	0.745656270289013	0.879740647862903	0.727386757608869	0.69354744537692	-0.758160714004886	-0.00893598337685472	0.061367425476709	0.875100783161147	0.637483759886369	0.822085543815744	-0.607882254400974	-0.421635136450259	0.526922054773732	-1.05478048582007	-0.928010977911492	0.475227219501653	-0.488250502357199	-0.211283105329394	-1.10681574265543	0.865872801780469	-0.602164215904646	-1.95898714461559	-0.328758177426129	0.0459739696616673	-0.320628892822263	0.569871736048935	-1.00573684749156	-0.0332994456647336	-0.268982676532107	0.503578609287643	-2.60547963642095	-1.47886057203477	-0.992590621174749
"ZC3H4"	1.17730619586567	1.2482811316127	1.09605367663295	1.09043426753401	1.36217903351548	1.30691343098608	1.17314781333303	0.885409556518049	1.01236439746009	1.20613633389578	0.875968967047908	0.941680449599926	0.72500084698428	0.743492627397247	0.578948995128752	0.906202103432066	0.0189399193957064	0.745018367058211	0.906087622190774	-0.866837700832961	-0.419030886678201	-1.25086522951774	0.839555693217413	0.83531483367776	0.631277988036074	0.713123632967157	0.721598099943643	0.718861264344542	-1.08230687314347	0.772630431925999	-0.321977725603345	0.797787603843034	0.869576814147449	0.880867088019895	0.777628779574609	-0.15422065346526	0.814463213808627	-0.0977620363702163	0.827597670690099	1.04940230021998	-0.163349439436022	0.66771189592015	0.852567608707297	0.790482330551472	0.125833854735883	1.21611044959412	-1.15325174013042	-0.431459492982944	-0.931206595719674	0.722052986738422	0.111040621290428	0.763156169733765	0.898628701365975	0.982730994426261	-1.30330932570332	0.968642498026148	-1.22383936085763	-0.678826941617059	0.777581726243225	1.14062385799471	1.22055446553452	0.720306144281386	-0.523588005867859	-0.943862475446536	-1.14011929518731	-1.20968041647558	-0.183919952452628	-0.929612917590477	0.823677213283333	-1.65609941656353	0.714967660095922	-1.38064699966692	-0.608938614274667	-0.244031640005196	-0.866548493156618	0.508484053905955	-1.05095059883331	0.881485287224739	-0.252783943809138	0.807611557255296	-1.03960381192631	-1.37245732395727	-0.712579321793891
"ATPIF1"	0.916752915964104	0.963173926919306	1.25185381760031	0.888554260160601	1.06673494450693	1.31943468449515	1.29599379006817	0.780362285518119	0.939788861454621	1.26219741319487	0.953022650958193	1.10495665879041	0.400379959644654	-0.0408847639930684	1.18603761640961	0.725223571121991	0.600231889655075	1.21650605175632	1.10858489760239	0.960506022270416	0.988998787028112	0.360285439484442	0.995870708117139	0.771953707032003	0.699832486063472	0.725451190635704	-0.244755991790459	1.1067978905431	0.873699125782763	1.31154755175767	0.517527853007182	0.433860093453992	0.641026693558387	0.871674306134354	1.01327090055655	0.508468758386069	0.875211211702845	-0.0368904968903349	-0.564838888733879	0.445394618328272	0.152298492250379	0.138086347953954	-0.488408466863206	0.719802952478442	0.30329239714122	0.955542176972821	-1.21330329019962	-0.559435125178774	-1.15450440838551	0.888813457337967	-0.548811764859761	0.109925704554478	-0.24828829163244	-0.251931024135137	0.029013132582537	0.774153110826716	-0.85029745403188	-0.64351598982499	0.676911096388745	-1.307559606881	-0.705876072528606	0.55636904172085	-0.970747337818411	-0.543114519884565	-0.328310213036996	0.796082191202964	-1.65551228903905	-0.918388270057364	-0.473983839467874	-0.43770208397628	-1.5417698013582	-0.735763221112774	0.0481088935570298	0.405435084333572	-1.09057855603118	0.444316224379827	-0.955840366759151	0.713472809713671	-0.705297949252625	0.455081961848835	-2.16729868557011	-1.68267205680896	-0.743727516132872
"LSM7"	1.06999363762478	1.22034367909045	1.0591956839787	0.972239467367119	1.09599538058041	1.18408162573482	1.1458316647762	1.09257742547724	1.05057521926698	0.978856125319765	0.819703457554934	0.932353094286443	0.832578806387778	-0.188869998025202	1.05282290917106	0.971378512011866	0.820247365930526	0.465473294514502	1.22286869175604	1.08636410126414	0.0313496188274744	0.0987974903561553	-0.150201614280656	0.0201178186738554	-0.223162445983998	-0.523960021720138	-0.657480029153684	0.926648383556522	0.632194344778848	0.768301668054898	0.76209388280493	0.537574885647099	-0.137539502725172	0.795200491429093	0.987928421358438	0.02467713019052	0.909077484587114	-0.144246648330936	-1.10253744404575	0.565075046277929	-0.390409581707052	-0.388599703097364	0.270749911002999	-0.0173634941648933	-0.500403911776786	1.15827620348733	-0.374721486658724	0.388225534680008	-1.58142120454207	-0.862097183353359	0.934604178049978	0.666794386565135	1.17810304583944	0.930259291429448	-0.93733756434697	0.731459296626976	0.663734064943439	0.837532446367139	0.250463975814648	0.560439594947023	-0.724058201466626	-0.473455231954748	-1.1948492321081	-0.695539171330659	-0.847070313862662	-1.46359091660476	-0.725321930626494	-0.44017512366569	-0.782776274722574	-1.39626135470317	-0.22767527042806	-0.355781422915603	0.450958785070781	-0.041075645967416	0.668385178074348	0.45793687848132	-0.485764465463793	0.212185097122099	0.103451727166576	-0.210397645035685	-1.73489873607999	0.947879757455776	-0.916840336359221
