"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"RPS16"	"RPS16"	1.1173856850539	0.159712025023147	-0.72208845936929	-0.468678254318166	"IS01"	1.1173856850539
"KRR1"	"KRR1"	0.980143733780583	-0.15559590159872	-0.74449696394269	0.00349466396590618	"IS01"	0.980143733780583
"HLA.DOA"	"HLA.DOA"	0.964061281478824	-0.346535686611719	-0.243455248092516	-0.233531578430842	"IS01"	0.964061281478824
"ARHGAP17"	"ARHGAP17"	0.929209066506888	-0.303646480506898	-0.0175727068301363	-0.453831000533768	"IS01"	0.929209066506888
"NONO"	"NONO"	0.907750285045939	0.32971862847278	-0.668519825909008	-0.518993590503828	"IS01"	0.907750285045939
"PARP14"	"PARP14"	0.869738869006799	-0.170956920436976	-0.0584824219248843	-0.507022648662276	"IS01"	0.869738869006799
"ADAM17"	"ADAM17"	0.869373070885338	-0.59905475622756	0.378616718330279	-0.447691432482792	"IS01"	0.869373070885338
"GPR183"	"GPR183"	0.836436591040762	-0.613332229237967	-0.0864088116453681	0.0164816983702576	"IS01"	0.836436591040762
"PYM1"	"PYM1"	0.82397111874185	-0.432765722075403	-0.153110026397068	-0.104288395794716	"IS01"	0.82397111874185
"CCT7"	"CCT7"	0.801171369180044	-0.0910606941532988	-0.600361255362503	-0.0429244748203199	"IS01"	0.801171369180044
"RPL35"	"RPL35"	0.795590540264232	0.289763029572343	-0.838376633565181	-0.227182440957769	"IS01"	0.795590540264232
"GLOD4"	"GLOD4"	0.792182888241801	0.13573158959999	-0.561653171221091	-0.311167556100158	"IS01"	0.792182888241801
"ARHGEF18"	"ARHGEF18"	0.779932985588323	0.0614489234218818	0.255530655795647	-0.961522400851758	"IS01"	0.779932985588323
"CDC42EP4"	"CDC42EP4"	0.77963407669328	-0.368788226661373	-0.0117716219610532	-0.26237138236529	"IS01"	0.77963407669328
"ZNF195"	"ZNF195"	0.770154241842154	-0.51501115804502	0.244080118526194	-0.330580105968042	"IS01"	0.770154241842154
"EIF3G"	"EIF3G"	0.765270350870713	0.488467225062249	-0.950581774127295	-0.310804427115661	"IS01"	0.765270350870713
"DCAF13"	"DCAF13"	0.750793462557424	-0.634868177601835	-0.462425703114952	0.452732628109369	"IS01"	0.750793462557424
"TTC1"	"TTC1"	0.738142517753232	0.198569979121817	-0.673703139685745	-0.230407644539649	"IS01"	0.738142517753232
"C14orf2"	"C14orf2"	0.735765425721908	-0.283596726882522	-0.520344652531678	0.144897453998761	"IS01"	0.735765425721908
"RRP36"	"RRP36"	0.724976301303152	0.328877126482424	-0.782892660916526	-0.258742144700699	"IS01"	0.724976301303152
"DHX9"	"DHX9"	0.722347860885812	-0.0943809105991264	-0.0221875702240118	-0.49554121019201	"IS01"	0.722347860885812
"HSPH1"	"HSPH1"	0.70142028635477	-0.846637474697935	-0.0266363454654258	0.325276610656625	"IS01"	0.70142028635477
