NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	NlPHL
ABCB4	561.412147131239	10.7907444680388	7.2764042750667	4.37595575466991	4.80284095431494	7.53009058022444	8.07519739710004	6.57954499084697	9.45320698855161	7.8375356659628	13.9547196619374	4.67798973890293	6.18974560420107	7.99700993177558	27.7517899913375	123.796863143412	116.437010665231	4.93411505124555	4.80692617087058	34.4489260041221	15.1426849553782	14.960724716799	309.345905258152
ABCB9	15.6337537377363	22.230289916475	659.222262593849	24.6279275984905	36.5604082205333	30.4462584726823	39.2143565850748	18.0196239114629	19.8264682112873	46.5023214357853	22.2016823225655	16.5596653040664	20.3936087021053	56.9581444746403	29.6206338730008	41.4708250325927	125.677333339083	23.724947022035	54.231259662355	23.8822986296473	30.2023825744169	33.7962693162658	144.459199479408
ACAP1	216.549396743065	324.892249789009	39.3626283684984	1066.84978325879	1818.32811052853	934.450981722379	345.05613647595	1118.20972725235	284.161178446547	2011.74794665435	514.169394348374	391.021335455966	192.688280701824	49.5736032137112	31.3546528712243	23.2562377346605	62.2954472273806	26.6587053119756	106.332011730702	74.5729919171567	701.306050039731	594.257467297051	555.433697540855
ACHE	15.1480268737293	16.7583939981182	22.4760495162646	13.6503118008171	27.9435449449589	18.7027814056181	13.5724964109414	15.077657088748	33.9600319341846	24.8057703950461	16.9030205946375	13.6761110331295	16.3774552515312	13.6310968953931	1377.43330444634	49.7531508701635	16.8538901742123	195.813749654742	14.0978870368219	20.7346411919166	41.0473937619112	22.9732397102776	13.9857930858532
ACOXL	4.12095915279403	3.5039561836431	4.26723521126987	2.15360884268701	2.60646658468317	2.53136679388069	3.4568223713486	4.34844783500975	45.7721204179704	29.7432136704243	2.54688845739987	4.74864601954826	3.12608107946701	3.66282225344966	3.02871591369876	8.17522556824701	3.98330523444694	3.38987324603611	3.89282117571737	6.31691687606702	6.67743712188271	4.80841515297441	190.350225298236
ACP5	613.762993522399	1973.83595030701	1141.57730439326	310.583197516759	754.072999878332	561.412147131239	251.578354570691	717.299336874308	500.467170418899	965.635941285982	343.719606272923	242.071936914235	516.604526685905	13871.05136403	1065.00059224667	7688.36250018198	14057.311722036	3976.4593271049	266.860315162539	326.410724949933	868.710867850466	306.382084988459	752.634846315863
ADAM28	1977.33544714342	1159.33389964278	328.482851736291	23.0352490131737	41.3391762970496	21.4976827947439	15.5534074740629	24.8547500689706	24.5460526161644	75.6330615713981	196.179132695182	96.019755946464	59.2613712116913	55.4520353539751	277.861205614529	360.458298274063	37.6442876553876	54.1779013928809	140.145309804269	118.197456069919	548.352747990656	129.895715847437	138.416755611584
ADAMDEC1	374.548140786964	322.208240914819	129.403460625443	45.7249511467209	83.1530713873145	48.336947072064	30.8203545019814	70.1357555629667	234.728897636364	158.08288959218	70.0860146146945	48.8599810494623	108.353047661667	4461.22811274286	8548.85289486451	4971.30484360269	166.371695359295	1784.71102774455	733.42820841123	1581.89504034778	176.403660876036	186.746722369558	10498.3058780891
ADRB2	490.674816434121	515.555501636197	294.919307166658	908.799255308809	79.0930040330505	599.971115213797	144.221972508061	99.2084740012659	2385.90320692134	218.273043882407	1970.54555275945	2379.03567558986	667.886922183877	143.870807757255	794.266239009867	362.985394353026	176.829928812082	84.4250592072775	4732.94636048552	2903.71461429243	1974.37675378093	736.803484252004	79.7858080866304
AIF1	24.3051630363936	20.430189971668	22.4242693915189	751.848334624883	727.97827706939	35.7757351324046	39.8110738178248	19.4130919247901	1104.58739442556	29.5333490193614	107.652586470522	23.4838106606687	8651.5099627342	1852.57877679257	1620.26117586491	11598.6671752047	3278.42640890003	27.3202849480257	1877.25721368555	1691.65037497364	51.8642948720704	6288.17804082067	591.036796154974
AIM2	331.759987711754	4712.67723806569	1463.23389652006	298.802033050596	58.7566091284886	253.49836389527	3382.14136098413	1129.73762843746	413.418339293564	316.820154629992	89.2331916258331	136.637795413418	538.981813094283	182.840873878036	2947.32633456152	150.376913298113	178.661109797449	913.294459565111	94.8533936150884	62.7773921496844	117.508535345214	796.004015118982	3265.37742452089
ALOX15	12.2761520256913	13.7322435098437	9.23782504478023	9.87607857954463	19.0269227971405	12.0249065075116	5.36589283986287	13.4532015463102	14.6845852836462	22.4487231661906	30.7716497216583	9.85758964733932	9.84905888146889	6.66312516793125	5.41367020253876	432.446470780285	2921.75670595658	30.7501476177972	11.2586125482119	10.7832476934807	357.362442104673	30.1901037610873	32.5124081311295
ALOX5	1822.01040993272	2477.67512495072	193.016845095285	80.7108710561216	77.0615806094102	134.854384295065	59.8688037591373	35.7186126697387	444.019270803302	143.987869486604	159.238550075263	124.382631890916	1990.44925197772	789.646674020557	84.8460720037234	250.234863259642	119.868599551229	74.5297007382654	644.077380560957	593.328917911748	1471.27321605108	2922.29934872305	977.774428184217
AMPD1	265.316892595512	220.087162263754	3117.68289185884	67.8533733721765	70.713353861963	86.9248398086367	69.6466155556915	55.1319439485964	116.007415026704	80.093459981459	60.3984378716086	61.9219901181084	100.197450323405	77.231335340901	63.3237490994232	60.8215756196671	90.7823455296703	61.6741101242691	57.0380054182346	76.4300083169203	119.718049955017	174.796315686615	13.546735461498
