"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"EIF2S2"	"EIF2S2"	0.904008818260712	-0.904008818260712	"S01"	0.904008818260712	"IS01"
"PSD"	"PSD"	0.896739344827088	-0.896739344827088	"S01"	0.896739344827088	"IS01"
"NNAT"	"NNAT"	0.891694947014531	-0.891694947014531	"S01"	0.891694947014531	"IS01"
"PFN1"	"PFN1"	0.884177511865642	-0.884177511865642	"S01"	0.884177511865642	"IS01"
"TRIM74"	"TRIM74"	0.880927194227439	-0.880927194227439	"S01"	0.880927194227439	"IS01"
"TRIOBP"	"TRIOBP"	0.880129260515513	-0.880129260515513	"S01"	0.880129260515513	"IS01"
"ADGRL1"	"ADGRL1"	0.878372022520318	-0.878372022520318	"S01"	0.878372022520318	"IS01"
"RGS19"	"RGS19"	0.876716289509153	-0.876716289509153	"S01"	0.876716289509153	"IS01"
"HSPA9"	"HSPA9"	0.86412249644634	-0.86412249644634	"S01"	0.86412249644634	"IS01"
"RBP5"	"RBP5"	0.86324703237125	-0.86324703237125	"S01"	0.86324703237125	"IS01"
"CCDC51"	"CCDC51"	0.862479950288314	-0.862479950288314	"S01"	0.862479950288314	"IS01"
"DTX1"	"DTX1"	0.861311491592165	-0.861311491592165	"S01"	0.861311491592165	"IS01"
"ADRM1"	"ADRM1"	0.859898032486414	-0.859898032486414	"S01"	0.859898032486414	"IS01"
"PPP1R12C"	"PPP1R12C"	0.856388837165684	-0.856388837165684	"S01"	0.856388837165684	"IS01"
"GPT"	"GPT"	0.856057200450589	-0.856057200450589	"S01"	0.856057200450589	"IS01"
"POLR3D"	"POLR3D"	0.839585661394226	-0.839585661394226	"S01"	0.839585661394226	"IS01"
"PCSK5"	"PCSK5"	0.83786057133793	-0.83786057133793	"S01"	0.83786057133793	"IS01"
"IGBP1"	"IGBP1"	0.837788083306431	-0.837788083306431	"S01"	0.837788083306431	"IS01"
"PIP5KL1"	"PIP5KL1"	0.834188537970296	-0.834188537970296	"S01"	0.834188537970296	"IS01"
"MCM2"	"MCM2"	0.834033976022111	-0.834033976022111	"S01"	0.834033976022111	"IS01"
"DBI"	"DBI"	0.830896414539187	-0.830896414539187	"S01"	0.830896414539187	"IS01"
"SGPL1"	"SGPL1"	0.82913674335317	-0.82913674335317	"S01"	0.82913674335317	"IS01"
