"Gene"	"IS01"	"IS02"	"State"	"MaxFC"
"RGS19"	"RGS19"	0.876716289509153	-0.876716289509153	"IS01"	0.876716289509153
"HSPA9"	"HSPA9"	0.86412249644634	-0.86412249644634	"IS01"	0.86412249644634
"RBP5"	"RBP5"	0.86324703237125	-0.86324703237125	"IS01"	0.86324703237125
"CCDC51"	"CCDC51"	0.862479950288314	-0.862479950288314	"IS01"	0.862479950288314
"DTX1"	"DTX1"	0.861311491592165	-0.861311491592165	"IS01"	0.861311491592165
"ADRM1"	"ADRM1"	0.859898032486414	-0.859898032486414	"IS01"	0.859898032486414
"PPP1R12C"	"PPP1R12C"	0.856388837165684	-0.856388837165684	"IS01"	0.856388837165684
"GPT"	"GPT"	0.856057200450589	-0.856057200450589	"IS01"	0.856057200450589
"POLR3D"	"POLR3D"	0.839585661394226	-0.839585661394226	"IS01"	0.839585661394226
"PCSK5"	"PCSK5"	0.83786057133793	-0.83786057133793	"IS01"	0.83786057133793
"IGBP1"	"IGBP1"	0.837788083306431	-0.837788083306431	"IS01"	0.837788083306431
"PIP5KL1"	"PIP5KL1"	0.834188537970296	-0.834188537970296	"IS01"	0.834188537970296
"MCM2"	"MCM2"	0.834033976022111	-0.834033976022111	"IS01"	0.834033976022111
"DBI"	"DBI"	0.830896414539187	-0.830896414539187	"IS01"	0.830896414539187
"SGPL1"	"SGPL1"	0.82913674335317	-0.82913674335317	"IS01"	0.82913674335317
"TMA7"	"TMA7"	0.828861761347702	-0.828861761347702	"IS01"	0.828861761347702
"HTATSF1"	"HTATSF1"	0.822825294088476	-0.822825294088476	"IS01"	0.822825294088476
"GIGYF1"	"GIGYF1"	0.818534010639682	-0.818534010639682	"IS01"	0.818534010639682
"BOP1"	"BOP1"	0.817872813838521	-0.817872813838521	"IS01"	0.817872813838521
"SLC12A8"	"SLC12A8"	0.815963636199384	-0.815963636199384	"IS01"	0.815963636199384
"HNRNPUL2.BSCL2"	"HNRNPUL2.BSCL2"	0.814557019941378	-0.814557019941378	"IS01"	0.814557019941378
"CEACAM21"	"CEACAM21"	0.811901922658534	-0.811901922658534	"IS01"	0.811901922658534
"SOX12"	"SOX12"	0.80588433892109	-0.80588433892109	"IS01"	0.80588433892109
"INCA1"	"INCA1"	0.799089619703779	-0.799089619703779	"IS01"	0.799089619703779
"XPC"	"XPC"	0.798990654606971	-0.798990654606971	"IS01"	0.798990654606971
"ETHE1"	"ETHE1"	0.796721201747764	-0.796721201747764	"IS01"	0.796721201747764
"SNRPD2"	"SNRPD2"	0.794345092447297	-0.794345092447297	"IS01"	0.794345092447297
"CHRNA6"	"CHRNA6"	0.792513896903059	-0.792513896903059	"IS01"	0.792513896903059
"IFITM1"	"IFITM1"	0.786272374678132	-0.786272374678132	"IS01"	0.786272374678132
"ZNF622"	"ZNF622"	0.785856037760774	-0.785856037760774	"IS01"	0.785856037760774
"ZNFX1"	"ZNFX1"	0.779896164301284	-0.779896164301284	"IS01"	0.779896164301284
