"IS01"	"IS02"
"ARHGAP30__pos"	8.16970807150876	2.4404292516766
"ATPIF1__pos"	9.28381550748554	0.764298510748916
"BCLAF1__pos"	4.62041274436612	5.86863645724512
"BIN3__pos"	8.941912880171	1.86238464312572
"BRD4__pos"	0.137906529708942	11.2282242355116
"CARD11__pos"	1.06741171571119	9.81599553788374
"CCAR1__pos"	1.54888163333722	8.87632118499684
"CCDC47__pos"	7.45110414733708	2.38136658095233
"CD27__pos"	1.25399928044363	8.81758776046922
"CD3D__pos"	0.648817726347639	10.097287826184
"CD99L2__pos"	8.54219899642704	1.99107111185468
"CEACAM16__pos"	9.96882030145391	1.96043760146607
"CFL1__pos"	6.69479473393719	3.6576322589557
"CHMP2A__pos"	0.938067855401801	9.42054321250396
"CLINT1__pos"	2.83567094713945	8.736186973209
"CLPSL2__pos"	2.2953632430097	2.22044604925031e-16
"CYP2W1__pos"	9.30064573928769	2.43747335750527
"DDX19A__pos"	2.90855349618149	7.49510585015112
"DDX24__pos"	1.1450199497714	8.44956646907285
"DEF6__pos"	10.0343850041526	1.03191784345903
"DKC1__pos"	1.19450929986277	9.81799663111118
"ECHS1__pos"	1.55264737337674	9.26700759629396
"EIF2S2__pos"	10.3097508771238	2.22044604925031e-16
"ESF1__pos"	7.09541263205105	2.95166606979668
"EXOSC2__pos"	3.53993684898338	6.83614152948934
"FBXL16__pos"	8.52028556934639	2.08815924947806
"GADD45GIP1__pos"	5.20997332754629	5.54744107148906
"GBP2__pos"	2.07026381605427	10.4423155302344
"GIGYF1__pos"	9.1405836382716	1.48433755121454
"GOLGA3__pos"	8.853918826289	1.12846115379442
"GPI__pos"	4.74115910437578	6.24415175434894
"GPS2__pos"	8.05624280061909e-06	10.5209912211832
"HDGF__pos"	0.315755952234043	10.2663953503586
"HIST1H2BC__pos"	1.43064803336371	9.16808976857148
"HIST1H4C__pos"	1.27552040832026	9.45714464896564
"HMCES__pos"	2.2701437409396	8.27714981893309
"HMGN5__pos"	7.77893165989905	2.88996742274231
"HSPE1__pos"	2.9203526970572	7.35201435618607
"HTATSF1__pos"	8.8548162615408	1.47380276427344
"IFITM1__pos"	9.13399185836274	2.20657505008902
"LGALS14__pos"	9.48412327337043	2.12401686087412
