"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"ZMYND12"	"ZMYND12"	0.89784285745086	-0.074241331272686	0.138307949084506	-0.447655765128815	-0.418848498681314	"IS01"	0.89784285745086
"ATP6V1E1"	"ATP6V1E1"	0.79406372479003	-0.744244553050566	0.549802803258394	-0.482510803917728	-0.164597010639743	"IS01"	0.79406372479003
"COX7B"	"COX7B"	0.792372093210587	-0.857815903392265	0.312045072361111	0.116487494338643	-0.66611851404658	"IS01"	0.792372093210587
"LAMP3"	"LAMP3"	0.782884095417295	-0.940851613442288	0.576785426846599	-0.120372819324506	-0.542419715524177	"IS01"	0.782884095417295
"MCUR1"	"MCUR1"	0.736625266459751	-0.468085178005491	0.353159949255724	-0.354082277782127	-0.295188773011797	"IS01"	0.736625266459751
"TXNL1"	"TXNL1"	0.73026341229852	-0.273371909658941	-0.9018867754485	0.366017696273411	-0.0817126951566165	"IS01"	0.73026341229852
"DGUOK"	"DGUOK"	0.720079441935863	-0.2425259558005	-0.127767559832111	0.208494181329066	-0.735630271517501	"IS01"	0.720079441935863
"COX16"	"COX16"	0.715410057625713	-0.694518032590836	-0.372559861235038	0.684412187223959	-0.769660476874392	"IS01"	0.715410057625713
"HCCS"	"HCCS"	0.715170164011588	-0.491241433378915	0.109186361289793	0.382287052828237	-1.04089007936057	"IS01"	0.715170164011588
"UXT"	"UXT"	0.704106929114873	-0.220297441928336	0.227274362455928	-0.230625582006427	-0.501351992726399	"IS01"	0.704106929114873
"GSC"	"GSC"	0.687963247346379	-0.273546817360832	0.619723661708817	-0.210823894533216	-0.907798877776705	"IS01"	0.687963247346379
"TWIST1"	"TWIST1"	0.687726964854146	0.00244965454218129	0.401594381974306	0.135649009768358	-1.39021301235263	"IS01"	0.687726964854146
"RAB3A"	"RAB3A"	0.683841950486989	-0.0606879051696403	0.677782439153733	-0.0818954876585319	-1.32962285681894	"IS01"	0.683841950486989
"SYT1"	"SYT1"	0.681841202242286	-0.628439559621722	0.618052851767123	0.0817308758788079	-1.02823438545308	"IS01"	0.681841202242286
"TMEM256"	"TMEM256"	0.678397792745229	-0.490133186572168	0.195832669825965	-0.0243849172296861	-0.513058843227706	"IS01"	0.678397792745229
"LEXM"	"LEXM"	0.653993506025263	0.443770679961974	0.481263134978601	-0.508795748245556	-0.878223143013485	"IS01"	0.653993506025263
"TICAM2"	"TICAM2"	0.623662533281064	0.121126569050098	0.266606486484716	0.273528531822976	-1.46641867918573	"IS01"	0.623662533281064
"CALM3"	"CALM3"	0.623480249450168	-0.92656294568397	0.411703367524792	-0.422420394368743	0.238073601586327	"IS01"	0.623480249450168
"ABHD16B"	"ABHD16B"	0.597073807806931	0.510658136767908	0.180806324136032	-0.546815422520591	-0.480778054371689	"IS01"	0.597073807806931
"PDCD10"	"PDCD10"	0.589531414455943	-0.591452145384659	-0.498417687400031	0.0474091639490112	0.340145464790106	"IS01"	0.589531414455943
"SUGCT"	"SUGCT"	0.575262688412491	0.336460872203834	0.429477757003297	-0.190700093596975	-1.10504717793863	"IS01"	0.575262688412491
"CCL3L3"	"CCL3L3"	0.575257522186579	-0.0392135219549117	0.221930423516498	0.0494872595938764	-0.909062148125299	"IS01"	0.575257522186579
"C3orf20"	"C3orf20"	0.573132495521373	0.0493339260357726	0.458129488142756	-0.0680981651843434	-1.07472260159354	"IS01"	0.573132495521373
"SNX3"	"SNX3"	0.567738646851242	-1.40344448718838	0.137893255185769	0.0503470052726277	0.316779529904798	"IS01"	0.567738646851242
"KCNMB4"	"KCNMB4"	0.561784772469993	-0.0205726714117552	0.350781188861258	0.124849508871054	-1.16268723869748	"IS01"	0.561784772469993
"RSG1"	"RSG1"	0.531962445058075	0.4931791864374	0.524505609383117	-0.327780432621653	-1.09631696007227	"IS01"	0.531962445058075
"MAL"	"MAL"	0.522084989095313	0.0775113657129213	0.289033991606799	0.0522409346492957	-1.026922110184	"IS01"	0.522084989095313
"HSPB6"	"HSPB6"	0.505490072412932	-0.581207577432882	0.224918186567529	0.34935937470724	-0.822197589478143	"IS01"	0.505490072412932
