"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP12"	"LP15"	"LP55"	"LP56"	"LP60"	"LP62"	"LP63"	"LP64"	"LP65"	"LP82"	"LP112"	"LP115"	"LP25"	"LP27"	"LP28"	"LP32"	"LP33"	"LP34"	"LP35"	"LP39"	"LP40"	"LP41"	"LP42"	"LP43"	"LP44"	"LP45"	"LP46"	"LP48"	"LP49"	"LP67"	"LP79"	"LP90"	"LP91"	"LP92"	"LP94"	"LP95"	"LP96"	"LP97"	"LP100"	"LP103"	"LP106"	"LP108"	"LP109"	"LP110"
"HLA.DQB2"	1.06766879746419	0.773727230141718	1.19357425508211	1.15333309468755	1.21950338015928	0.795907024216599	0.182013596435281	0.968250548366119	1.42833014583948	1.13460232848362	1.02720749875144	1.09134493963261	0.797808444819867	-1.05903028586908	1.08710375261108	1.00574364303718	0.299669972624059	0.146791791602361	-0.651279731443394	1.8210622868377	1.12638594058557	1.10170153252979	-0.689062167817281	-0.696609557419493	0.815413158507889	-1.76336348045146	-0.517958016074485	1.10540398498597	-0.641801185252201	-0.697963020828146	1.09826022801097	-0.69068109772072	-0.814356599217936	1.09224018596955	0.985155334413114	-0.543914236051517	1.17213281711727	-0.66770678613744	-0.765769612401158	0.361070559566312	-1.75817589879326	0.184632737297535	0.337004608056524	1.05278106571346	-0.736234428686215	-0.654036897550926	-1.5384935315475	-0.870437808338485	1.01297271615031	-0.833027679054151	-0.721618246589156	1.35071868074425	-0.392828975220951	-0.620196690797101
"RBM42"	1.11731106249685	1.17122919085081	1.11576581616248	1.05677995217617	1.06706211155538	1.06440296888422	1.04558889396606	0.994425972619448	1.24339161064504	1.00322018837953	0.861925961570066	1.03830588758808	0.784732072280808	-1.33251045700128	1.07829020081974	1.04475228965408	1.01249339061906	0.882766615600931	1.02687410436354	-1.28381140922088	0.926404721921187	0.788469530872126	1.05612993447995	-0.849667985844309	-0.621686154130828	-1.12781158677281	-0.758607817688773	-0.693525796827795	0.774583800858924	-0.715229857932008	0.871668584918917	-1.1034849075132	-1.31043132388671	0.775036712427412	-0.771205356650891	-0.78904952688331	0.769138906293053	-0.679387206174931	-1.08440218717759	-0.994660141546887	-0.840280649771731	-0.887167114553092	-1.34577232600868	0.756750225845632	0.760168179365235	-0.786794644830239	1.9345206464945	-0.701324215302461	-0.857732143319111	-1.08931831058882	-0.791756511362364	-1.26844772165278	0.791210192578445	0.766532915864533
"NYAP1"	0.933653861343197	0.931938770211004	0.94159435808879	0.931741216332299	0.939225779919403	0.936789787977909	0.930949157175471	0.92992003604607	0.934763641665515	0.929914640548097	-0.2572425624363	-1.18241953170713	0.932253430994361	0.955851550500187	0.957061309162475	0.929910798583753	0.929910798583753	0.947281833378476	0.933299746942401	1.15319948854805	0.933064514476099	0.929920628564928	-1.18241953170713	-1.18241953170713	-1.18241953170713	-1.18241953170713	-1.18241953170713	-1.18241953170713	0.931662707730209	0.942883486474222	0.931642285718695	-1.18241953170713	-1.18241953170713	-0.476052827765428	-1.18241953170713	-0.318798925391215	-1.18241953170713	-0.812457893379908	0.929913853873541	0.931262836830817	0.956944102306288	0.93042047820637	0.931153321031874	0.936715038167763	-1.18241953170713	0.929910798583753	-0.579854814384437	-1.18241953170713	-1.18241953170713	0.933100495794496	0.93122725186381	-1.18241953170713	-1.18241953170713	-1.18241953170713
"GRIN1"	0.910248607297278	0.911129664234864	0.904147954615056	0.908879350569738	0.918795960655127	0.907772450155673	0.912545182579478	0.894737364202799	0.909066555357893	0.920642719980439	0.0478172282768404	0.97226334172975	0.898778977001785	0.994281326559108	0.928270412260872	0.907168282179361	0.894431510901562	0.915582448904064	0.937724752059472	1.1501509071533	-1.20857216177476	0.894442463572558	0.966710140742017	-1.20857216177476	0.894617060430044	-1.20857216177476	-1.20857216177476	-1.20857216177476	0.894573596609346	0.904850015335742	-1.20857216177476	-1.20857216177476	0.911600540494545	0.908409688828958	0.954408242889331	0.0728340457707828	-0.430863888541751	-0.153119513066678	-1.20857216177476	0.897720995635816	-0.93930765118194	0.899087272837965	-1.16709092840202	-1.20857216177476	-1.20857216177476	0.895022204688374	0.00429711423675055	-1.20857216177476	-1.20857216177476	-1.20857216177476	-1.20857216177476	-1.18089558087484	-1.20857216177476	0.90053971455159
"PCDHA10"	0.947990395749102	0.986098397865162	0.883127967010073	0.950125174028079	1.06786591321492	0.929970694721899	0.862283364086401	1.13853330996573	1.06848783104217	0.963686018127308	-1.10547302401994	0.963146466047792	0.827063964214581	1.40915131753308	0.862848056802843	0.844678717634709	-1.16525729454166	1.11786133118982	0.83706432696615	1.10796489307114	0.874518795499688	0.958093195676795	0.843956963645617	1.09529422700199	0.814945566324863	0.883997016416722	-1.23637312157018	-1.21190520102837	-1.18972087854528	-0.138431539900122	0.92361190075232	-0.967554904753455	0.849306837747653	-1.09819942475237	0.87944085379591	-1.13831707177859	1.08336204733134	-0.942489003429038	1.02657793928269	-1.23418190259371	0.861153557791774	0.939096271934862	1.02102040230463	-0.881251191884254	0.886615639968631	-0.80322107352261	2.00557246773031	0.863569265429544	-0.655555435808832	-1.17593507811515	0.980885393162814	1.06359183535102	-1.1744933952816	-1.11866595334046
"LRRC20"	1.08281836902014	0.905364942948563	1.1293495984049	0.947431411627575	1.10729685109042	1.08752764384181	1.1096099716249	0.987286761944392	0.885853970914722	0.933044743178314	-0.675792005057331	-0.923769876431643	0.853925095108934	1.20431969183992	1.03622671439115	1.07445655310527	0.951061747368269	0.979350429428153	0.704463962022032	1.89190643324145	0.697715625494434	-0.869671813906546	-0.828038294210563	-1.06330750109935	-0.842024216902067	-1.46077771877118	-0.762342042798355	-1.11323328748289	-0.930747781151817	0.993905905662341	-0.45550601315879	-1.10022139522167	-1.04284974562842	-0.98180215625653	0.878073729131469	0.853994698917061	-0.958480958004883	0.889689429423968	-0.899507023697172	-0.691236909172006	-0.690817959841448	0.824292938832762	-0.626559996021	-0.854581416582745	-1.53434584527883	-0.667110341340402	-1.38087521506006	-0.653306491671714	0.684059122623967	0.64943354128403	-0.87805834090752	0.8839765911251	-0.630795444483004	-0.862063604619549
"RAI14"	0.973973451591033	0.930929003889349	-0.666360701860768	0.941506631017706	0.999473986860518	0.864519930835594	0.942900784792206	0.861362595596691	0.982360265098575	0.925715444771289	0.881782793263526	0.926712968764775	0.938858868028103	0.875906729938228	1.04912408925941	0.93230554805984	-0.986169809177936	0.840073752501755	0.846506559485116	1.42131875737482	0.726616096402159	0.8874438406535	0.925306604908409	-0.414877525664896	0.80240564652339	0.997237322851343	-0.94383320646646	-0.74739510146704	0.960778107227851	0.941495862756198	0.92056870234787	0.918898266879722	0.847860203143589	-0.423938442964707	0.892004271319668	-1.25999665246601	-0.665651129850359	0.906884367145219	0.982894881543591	0.888655926051204	-0.752610097433618	0.985731456074578	-0.672540194916274	0.950162858517485	-0.485819851906582	0.98779708843926	-3.51397694454284	0.964856719408	-0.94315345783734	-0.788844436604278	0.882617483560477	0.837545222914248	0.942755726768115	0.889895511015024
"DRC7"	0.927556883152904	-1.00552986292817	0.931065298459617	0.929250991735172	0.934419174063992	0.934979166273549	0.933505570480534	0.929027597452394	0.934303970673693	0.925201309737607	0.922988796702531	-0.995146807256797	0.939077438235643	1.0553163915249	0.95075212088969	0.932071200472108	0.923005291247025	-0.989436313277791	0.923234723918473	2.70288538089658	0.933828051296244	0.923000506529546	-1.00667100441233	-0.992175634099969	-1.00654678497129	-1.00693854760679	-1.00693854760679	-1.00692060325263	-0.998053440729975	0.927836429857677	-0.992642166559322	-1.00693854760679	-0.976736536501492	0.922988796702531	1.12381011783396	0.922988796702531	0.922988796702531	0.922988796702531	-1.0015012032841	-1.00693854760679	0.925769967655268	-0.997058005829133	-0.780105972980944	-1.00693854760679	-0.993894568305175	0.936130435980951	0.922988796702531	-1.00693854760679	-1.00674588080422	-1.0006348966273	0.923392273225471	-0.788549646622971	-0.994503754421566	0.936559297020887
"P3H4"	0.794244161546202	0.800601676735547	0.80611161853331	0.825307668897447	0.847530038000788	0.828451915682391	0.793906380841285	0.820946324083873	0.800370304958276	0.79560131024128	0.136689017064012	0.787092695124168	0.101428232716833	0.776042391454586	0.794335975744967	0.791526203508341	0.793095863915898	0.783891614598992	0.795126227279898	1.00572778528964	0.805444981831319	0.822649597711513	0.794854283542119	0.801605964563114	0.0318568377139633	-0.0426306358656038	-0.974878118186756	-1.78555646540289	0.890006195877595	0.802352601988757	-0.375838269239373	-1.00612321598544	0.792351598443253	-1.78555646540289	0.803584049523894	0.775248044589296	0.82407905402376	0.0102469252289798	0.778963923432276	-0.465770919370722	0.820436793181069	-0.38307706358717	0.0166714157038232	0.794739984739238	0.0373220892445674	0.795486586594247	-1.78555646540289	0.828626121533559	-1.78555646540289	0.0997156242900153	0.818696192503575	0.795180142409729	-1.78555646540289	-0.0126478448945489
"FAM83E"	0.832645821739084	0.829415225185734	1.16465749244089	0.848164734028892	1.00424036729618	1.0353841427533	1.03355472305936	0.853022198519233	1.0053219389659	1.12875020131152	0.96542817010931	-1.18315586842824	-1.14352337684561	0.859571362248316	1.23868977839631	0.880968698898859	1.1157633173267	-0.827370304972365	1.00213457879301	2.09879620747601	0.830161626192098	0.856662847537943	1.10250517062796	-0.824259630551625	0.828751422352066	-1.15885734496157	-1.1649214219548	-1.14178523228563	-1.09097077958094	1.14808571181025	0.988836172942385	-1.06761008974455	-1.17856441415283	-0.643031529640829	1.15462959338878	-1.12026958749043	-0.944032807697767	1.01481247582724	-1.18315586842824	-1.18043247121999	-1.14976145028848	0.895331222819538	0.847598537295762	-1.14876036950746	0.914645055598727	0.828751422352066	-1.03206784635737	-0.666981973254925	-1.17624416641256	-0.710903960799738	1.02610384302921	-0.861796575856208	1.04789313581801	1.21510038487267
