"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"PNKP__pos"	2.22044604925031e-16	4.12614392066829	0.11758837212606	2.22044604925031e-16	1.68131127382784	11.8741750620188
"MDGA1__pos"	4.52062642903603	2.9228617686309	3.77386875610887	1.56420968079844	2.22044604925031e-16	6.66514268816602
"ANKDD1A__pos"	6.72449060115636	3.45818584156243	1.23758188296986	1.36977914970056	1.07451894755977	6.93789038653527
"TNFRSF18__pos"	1.11569064543288	6.5635309900804	4.94838324825647	2.22044604925031e-16	2.22044604925031e-16	8.23798226099238
"ADARB2__pos"	2.67239580970879	4.29148766905611	5.04758729396786	2.82933534812215	2.22044604925031e-16	8.15196480074408
"CABIN1__pos"	0.260148263236221	4.95775501999831	2.22044604925031e-16	2.22044604925031e-16	2.07261172565857	11.7265358945056
"TEX12__pos"	11.5221605538337	3.02135882000762	3.63016078053993	0.145298279513302	2.22044604925031e-16	5.00043149058218
"ZFY__pos"	4.50952632623665	3.12155180006068	7.87249495510204	0.25928224453545	2.22044604925031e-16	4.90460410044732
"CHKB.CPT1B__pos"	2.77354717173712	5.19183705503426	4.64975073286983	2.22044604925031e-16	0.000295286065702021	9.49834937586648
"DVL1__pos"	0.763153375045356	6.39029161093385	0.364257069607123	2.22044604925031e-16	2.24154509014734e-11	11.676358367217
"PPIAL4F__pos"	5.92967033739813	2.22044604925031e-16	9.5834670625742	0.014121421830627	1.89116190736704	6.97424464768459
"COL4A5__pos"	8.82084814614349	4.25973292874295	4.37242732683656	1.70301208219844	0.436318928615068	4.69366959761932
"CLEC4A__pos"	10.0493712092299	2.33894866555958	3.966198696974	2.22044604925031e-16	0.28565909852571	5.16801922509311
"ZNF30__pos"	4.18991192713791	4.1521391709857	4.35812724738846	0.95964408820213	0.484756003152166	7.53527451731807
"COL21A1__pos"	4.43028537351564	2.88711821760746	7.46587380705731	0.536293880392178	1.10838444439758	5.47853117729027
"PPP1R16B__pos"	1.18275899033714	3.63857469525075	2.43041278271179	2.22044604925031e-16	2.22044604925031e-16	10.121761925844
"RHOXF1__pos"	2.0345821066846	4.44562112983887	8.32970784432313	1.29202733445973	0.360382218174386	8.22215537865042
"ZNF816.ZNF321P__pos"	6.32655792087805	2.08977269232789	4.65552118252464	3.06010695190306	7.47793902619441e-16	7.31322952092937
"SLX1B__pos"	3.24065245751916	4.35729903305282	1.9503288501027	4.01458488787551	1.34284624441612e-09	6.90165286219755
"MAEL__pos"	5.4505443774174	5.75752413232302	6.93750357635041	0.168679604919779	2.22044604925031e-16	6.59424744398648
"PSTPIP1__pos"	2.22044604925031e-16	6.83507568298309	2.2313765632672	2.22044604925031e-16	2.22044604925031e-16	10.2279476251008
"CARS2__pos"	3.20177951247243	0.455055951618515	0.602249864065354	2.22044604925031e-16	2.08210777813759	9.8487772525869
"TMEM244__pos"	4.02828384959844	5.62971641675096	11.6144671718096	2.40790632771381	2.22044604925031e-16	3.18124272049616
"DDX51__pos"	2.6496070856022	5.44573109536924	2.22044604925031e-16	2.22044604925031e-16	2.14384526266163	9.33680792084402
"NDE1__pos"	3.17428069211451	2.94611438733871	2.37759893163439	2.22044604925031e-16	0.228052337380711	9.11131526201389
"TBC1D3L__pos"	2.15529112579635	3.70928628319884	1.31708898428265	0.309374450119427	0.48706307130185	11.2525686210429
"PPIAL4C__pos"	3.61879490879726	1.85994858301383	8.3288514801801	2.22044604925031e-16	2.22044604925031e-16	8.26379766368917
"PLCH2__pos"	0.0319204933657422	3.88411895690397	2.56075716629454	2.22044604925031e-16	2.22044604925031e-16	11.6000004915959
"TNRC6C__pos"	1.34716329315674	2.00085908137697	0.296432941677425	2.22044604925031e-16	1.93584109180245	12.2910098384237
"ISYNA1__pos"	4.6575312874334	2.21711739888634	5.06087630133786	2.22044604925031e-16	2.22044604925031e-16	8.75387928234598
"SLC27A3__pos"	2.73966050941636	2.15900664123695	5.43756716816587	2.22044604925031e-16	0.37833223823707	9.30099231682508
"C11orf94__pos"	4.99627955541453	1.83964435514708	9.02174901157263	2.22044604925031e-16	2.22044604925031e-16	7.20350854158904
"AC243756.1__pos"	3.2699220290174	2.14577684444593	6.22615849838571	2.22044604925031e-16	2.22044604925031e-16	8.5877332344106
"FAM118A__pos"	5.16774524769406	4.12789915961291	1.4201514796589	0.131903081237182	2.22044604925031e-16	9.81811978523633
"DVL2__pos"	4.34826336824813	1.30799746189379	0.720099509316543	2.22044604925031e-16	2.22044604925031e-16	10.2211001936832
"JPH1__pos"	4.66734281599725	2.57898561401261	7.52092026192446	2.22044604925031e-16	2.22044604925031e-16	8.62148071743343
"KRT80__pos"	4.50502379850168	5.94886429051444	4.00005858347999	1.67419635235715	2.22044604925031e-16	7.56180930866597
"IFNG__pos"	6.8653652030407	2.13759071795316	8.68262623538389	2.22044604925031e-16	2.22044604925031e-16	4.26682426834022
"KRTAP5.11__pos"	8.36496110272761	3.96162839581118	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	7.88833362184076
"ZNF408__pos"	9.25745884609167	4.88472048647535	1.74208186590806	0.0140119234356333	1.59488964727062	4.13394505465375
"HOXC8__pos"	6.5755569429058	3.90054510743972	4.89657472108258	1.29012181569318	2.22044604925031e-16	5.99703131380679
"TMEM265__pos"	3.45965823676819	3.73420884153127	5.22608240620443	2.37911845368805	2.22044604925031e-16	6.40149898870537
"PARP14__pos"	5.55044311160213	0.62573170600326	4.35381220877164	2.22044604925031e-16	2.22044604925031e-16	8.17752815919542
