"LP27"	"LP28"	"LP29"	"LP30"	"LP32"	"LP33"	"LP42"	"LP44"	"LP48"	"LP49"	"LP79"	"LP90"	"LP91"	"LP92"	"LP95"	"LP97"	"LP103"	"LP104"	"LP106"	"LP108"	"LP109"	"LP114"	"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP56"	"LP19"	"LP25"	"LP26"	"LP31"	"LP37"	"LP39"	"LP40"	"LP41"	"LP43"	"LP47"	"LP50"	"LP51"	"LP52"	"LP54"	"LP55"	"LP58"	"LP60"	"LP61"	"LP64"	"LP65"	"LP80"	"LP93"	"LP110"	"LP111"	"LP113"	"LP116"	"LP117"	"LP119"
"GPR89B"	0.900822877815093	0.976772805735653	0.948116209381699	0.778639644184426	1.51666616906977	0.478841484880261	1.15640582307112	0.724669493588772	1.10360980615062	0.999111819866278	1.03861151117951	0.757560161171872	1.30686217950544	0.697752815292555	0.770642240855522	0.689678064481367	1.45163033360768	1.10957495774852	0.758427650696532	2.1868548128586	1.28062627491891	0.794549672747686	0.945281836563452	-1.15586950543553	-1.63902007069419	-1.30854442989919	-1.38984625782719	-1.11295953519608	-1.20786427741559	-0.823414029223705	-0.843026996846808	-1.07654352619909	-0.581549757142461	0.144117129264966	0.772946880455932	1.06353275418881	-0.354752676419661	0.713653634721582	0.589829928154705	-0.625400868395863	1.04883825034698	-0.794204008215173	0.692244367664771	0.630723773665774	-0.616174825671067	0.855093722941405	-0.70739732491567	0.626716492160323	0.817976873445957	-0.868652608556209	0.7715209354109	1.02636665658634	-0.763493637808086	-1.24623644518061	1.05081074634752	1.01491400504458	-0.31517317537702	0.795444210765353	0.675781484225397	1.15092548701373	0.974221784560977
"BTF3L4"	0.841669497202933	0.916124362165824	0.743351148182279	0.599049149239266	1.57891921333852	0.895426593432193	1.32384889236709	0.590177053782624	1.04184235020695	0.903698655529055	0.920975453634532	0.867197459755922	1.15927077517463	1.03950633253122	0.511094718313778	1.10419878485474	1.34590649573695	1.60635611280852	0.767438168846917	1.51274086488301	0.80409345325854	0.74238091919445	-0.976328197454256	-1.0700350793747	-1.6594153332759	-1.21607615992851	-0.494674451237952	-1.30843796393668	-1.06783451552778	0.474076334475248	-0.283908899263342	-1.10579228308915	0.667519759644736	0.150706991519107	0.758139675137332	0.38471782910142	0.444914442292257	0.471200733972452	0.971973844432701	0.706440668336199	1.04849457835874	0.789752326833343	0.414901892791806	-0.0060065797753561	1.32064014320165	-0.753220311595456	0.158029517078193	-0.498947255929936	-1.3733767035257	0.463846780883622	-0.720204146679266	-1.02117428058117	-0.993006047938062	1.18440335017939	-1.07201321220211	0.494164677697766	-0.239775750542257	-1.42112196601058	-0.623910349282122	0.309566587710098	-0.769101024507094
"PI4K2B"	0.676401782085563	1.14935695795453	1.05494837853702	0.449583189070963	1.14276816208848	1.19935190925572	1.39196166237747	1.14070379247377	1.18377407833004	0.697587246678499	0.736593962720453	0.796083674881854	1.1416425201406	0.919119216660017	0.575420103855191	1.18251224820673	1.12732531442825	0.76219600523411	0.81374469317651	1.02950011929937	1.18920950090903	0.857368314843748	-0.959007872678617	-0.179839411928347	-0.885306538947907	-1.22384462676051	-0.750109947876242	-0.88483858315606	-1.45212172004981	-0.345423155311781	-0.590899012717848	-0.774124693076938	-1.66452632345793	-0.854172505736164	0.944141446129037	0.797187633087424	0.876201404216843	-0.950179580741443	1.14128568242315	-0.0527351872762345	0.796935642942293	-1.61905683851144	0.870569554053818	-0.424109688405289	-0.662599423956498	0.535536285583417	0.405222029833958	-0.277969406250374	-1.07279755500089	1.1966785405933	-0.0337160224014669	-0.184281715619132	0.506465245009845	-0.468115037338338	-1.57038632739403	-0.207870142194724	0.368396518878819	0.85714805660311	0.42654695431606	0.619896856606531	0.757498225616811
"LYSMD3"	1.21479885675915	0.733166550867323	0.41763388081789	0.607145780849922	1.6153776233768	0.750090441885389	0.337599495645848	1.26291902747884	1.68971324533211	1.10765369676173	0.314958620654095	0.613550272840076	0.986669685748973	0.910087182013085	0.914645320854659	1.40150628454612	0.961807951446246	1.44138285678808	0.783042609807011	1.07061277081122	1.13384678645224	0.744465118521008	0.50286352955328	0.0124380927521953	0.561053941880066	-0.072132599620527	0.711113865421422	0.423929296609896	-0.643956614413172	0.400545423561719	0.776311400899064	0.500494823470567	-1.22680671121274	-0.341996138993836	0.708294553130628	0.445304189275192	1.05890297362054	0.570194971056515	1.09203120277215	-0.802471134772644	-1.22012101753337	-0.904988781057516	-1.54611315312952	1.47583130158558	1.45513303939461	-1.80964605492972	-1.01194995697411	-1.03479510017057	0.248784202687792	-0.265614882447372	-1.33437911154162	-0.919267102725062	-1.06632832024132	0.832036005705632	1.28764852633607	0.63679047344329	-1.69203247509112	-0.356207633823097	0.0553764306377595	0.639713027324616	-1.6990541755888
"FRA10AC1"	1.24752859581245	1.45204946582341	-0.0389427306611907	0.217658988494988	1.63889078787242	0.799579405715051	1.47551795200156	0.0842444593936603	0.776680774788777	1.15344397771467	0.289019797108982	0.432597366158358	1.09777831244773	1.24707345705436	1.2640571941427	1.23744033351468	1.66950808622191	1.73957577416158	1.1429482796041	1.13539483149603	1.0989899038162	-0.186185458713749	-0.0852584512253245	-0.130917054287395	-1.28280056046424	-1.2325453220989	-1.26905928324482	-1.17649015224146	-1.32921527845186	0.129058113542822	0.125494764130983	-1.25201693858707	0.153332903820088	0.742537749891863	0.364653708947293	0.442374045568465	0.0134489234629487	0.305246393986494	0.602101569811366	0.251652170026091	-0.188030736817336	0.485980897242092	-0.997383159288851	-0.103641113562053	1.30520629340557	0.174032650694539	-0.978448620313387	-1.1423288684641	0.367741582009466	-1.77441059879275	0.722090101107399	-0.0248526765916548	-1.58387662600394	1.09772896996486	0.398273736727505	0.392239512710452	0.199708002160446	0.602478132057566	0.122556443388775	-0.188105894525348	0.591205762678282
"DNAJC24"	1.08169123586903	0.792487865189725	0.871074462578955	-0.162271307800637	1.45687827988669	0.817164839085813	1.22794901633217	0.621538209864852	0.601051478036242	0.956419289695039	0.949706451147944	0.924802617113216	1.19586487398567	0.723018302242927	0.43396866975784	1.29898192428423	0.97261409591645	1.42022682111682	1.00263180405115	1.58310487760916	1.24264743598659	0.681612590999564	-0.188386122261637	-0.313617431458108	-0.757377068140369	0.412264033437897	-0.759096265144138	-1.02733141542666	-0.992567490802286	0.462802479908455	0.729698264614419	-0.24581814782784	-0.739534056402691	0.696079627326586	0.994546283865516	0.60203028549225	0.997666533280405	-0.663383787669892	0.911867861661624	0.536010078829166	0.820285485227523	-0.0632820503263109	-0.70872330588196	0.584249477753014	0.923936493625227	0.843680892849981	0.933809620050868	0.295446389419669	0.527529663707322	-1.18028910810973	0.796001292247574	-0.921078800443484	-1.40101163025377	-0.455235883113034	-1.6362577559535	1.15841622835352	0.826203059451555	0.659902280075551	0.0294111816298431	0.521116200775725	-1.23425896337006
"HERC4"	0.880852334681982	0.715854011793416	1.18081263707252	0.787440856617391	2.03180599012063	0.855618575125422	1.16803094471126	-0.943830770253477	1.17720620286763	0.917595553468479	1.16380588670894	1.11567187281561	0.951245888846865	0.902114598883082	0.981757508754106	1.04727574896089	0.800980974459939	1.07419906277746	0.971158754425153	1.13958906269622	0.844668949922092	0.910508386270907	-0.63607135300113	-1.02251919436404	-0.916943784415845	-1.05805418974271	-1.27465501401415	-1.22239043172744	-1.23627094294433	-0.784987138807355	-1.11795135529579	-0.803914069224242	-1.35238132237132	-1.38725210689485	1.03611271182267	0.932307287329416	0.837947660436217	-1.06162686472079	1.13265030357552	0.866431594427931	-0.52462873692889	-0.518155992618415	0.845423406014493	0.892286035723418	0.861816417039228	1.10117456508483	-1.08926604216566	0.745769565791533	-0.712284435263073	-1.03886144924288	1.08340806666125	-0.998927923367806	-0.866711876949544	0.991686528958567	-0.592528043344048	0.943880989777951	0.654012029274015	0.802533903300906	-0.957981043991962	0.809426227346792	0.922665919378192
"MZT1"	1.09718128680386	0.870809826130218	0.914182223703521	0.6107614837445	1.63095306427682	0.898209619113379	1.02321736797217	0.827742281692058	1.30840746011468	1.04208699468976	0.644498600704909	0.878070652493235	0.992768460028683	0.922983776389811	0.56449088008357	1.18390104525983	1.18001501255791	1.35239105499815	-0.565909810030778	1.3728797471364	1.15209639010588	0.62528365935094	-1.22883963575335	-0.863618816995056	-1.62914533789074	-1.38493498344155	-1.22694637255286	-1.24334726826199	-1.37851254700993	-0.308737941027354	-0.689292414311783	-1.17792851955376	-1.46403653133455	-0.332212997204191	0.883369579416679	0.868890525057684	0.692003467432538	0.758201495108341	0.631978372388319	-0.891442440964204	-0.628950737225913	0.193358868057465	0.577749114879045	-1.38621621498743	0.101012194079702	0.664887603603913	-1.03700400041809	-0.0354768816313809	-1.47137638237041	-0.895711299100488	0.806515429255298	-0.954132475169172	-0.824362448035456	-0.830989111772542	0.569010173616446	0.524634923781955	0.662346452629915	-0.0150830799146417	0.616284785688574	0.842829281519728	0.541292297156909
"GXYLT1"	1.06679878286917	0.9792908566437	0.372401896168342	0.622442453949485	1.70649348208	0.914544861690351	1.57525547087333	0.707325610391617	1.22187690440646	1.06319499760175	0.56344759117832	0.466362732952901	1.10941739951675	0.461389372080449	0.477967078389087	1.02868667322472	1.08867566224314	1.0348758487253	1.07592784140308	1.41327118947238	1.01278429147899	0.519588987037416	0.790782576810777	-1.39949346900296	-1.217985905048	-1.58195029052036	-0.7495617518325	-1.36203907215778	-1.3677070132004	-0.384636366826659	-0.310050963757493	-0.385514094570919	0.869070001495082	0.202195739309131	1.02244044543931	1.01892509010973	1.07056802887474	0.712117589629217	1.06729128541884	-0.115454432110079	-1.46325852921191	-0.382348086538277	-1.06710669270398	0.541947641939959	1.79273114338176	0.803371424854858	0.566077563570518	0.434558296188024	0.439660088265644	0.614348835055656	-0.465128898418697	0.369746883444051	0.579869825756191	-1.05740733246367	-1.80577456746956	1.68099647884489	0.573435085233334	0.516872797320835	0.639399169979704	0.765573921207915	-0.471275737177479
"TULP3"	0.875919852546961	1.09217445054007	0.456207093670961	0.558201391231126	1.15308489434018	0.759407655576537	1.20692398809148	1.39056638942613	1.03249317376796	0.704793035782596	0.699032844453377	0.435314820988144	0.853479672351518	0.875849472167896	1.158563099874	1.0809411067605	1.03235179961631	1.34620136723534	0.81547003816357	1.43629792387991	0.473807398542813	0.858210702735923	-0.974916216390364	-0.215987488132312	-1.50266596039313	-0.685301379127987	-1.2373968695183	-1.28852040873641	-1.322677658472	-0.266453397192194	-0.0769862556756809	-0.766038055709378	-1.77261855934165	-0.89580303373177	0.653810610175486	0.722018099538849	-0.116467449277849	-0.447191061402229	0.798229711155575	0.569810358711292	0.835412383224338	1.15659860940577	-1.02013587203109	-1.85028584800777	-0.803524378216102	-1.4730521108655	-0.606379404673048	0.456731484975814	-1.72570446405665	-1.15857559110753	0.51180813038319	0.665616211264403	-0.2057655237764	-0.0363234689373337	-0.933627775639649	-0.362219737097396	0.644311583118341	-0.66343997117644	0.510768237623367	-0.169124487253018	0.404202183854905
