"ID"	"State"
"LP27"	"IS01"
"LP28"	"IS01"
"LP29"	"IS01"
"LP30"	"IS01"
"LP32"	"IS01"
"LP33"	"IS01"
"LP42"	"IS01"
"LP44"	"IS01"
"LP48"	"IS01"
"LP49"	"IS01"
"LP79"	"IS01"
"LP90"	"IS01"
"LP91"	"IS01"
"LP92"	"IS01"
"LP95"	"IS01"
"LP97"	"IS01"
"LP103"	"IS01"
"LP104"	"IS01"
"LP106"	"IS01"
"LP108"	"IS01"
"LP109"	"IS01"
"LP114"	"IS01"
"LP01"	"IS02"
"LP02"	"IS02"
"LP03"	"IS02"
"LP04"	"IS02"
"LP05"	"IS02"
"LP06"	"IS02"
"LP07"	"IS02"
"LP08"	"IS02"
"LP10"	"IS02"
"LP11"	"IS02"
"LP56"	"IS02"
"LP12"	"IS03"
"LP13"	"IS03"
"LP14"	"IS03"
"LP15"	"IS03"
"LP17"	"IS03"
"LP18"	"IS03"
"LP21"	"IS03"
"LP22"	"IS03"
"LP24"	"IS03"
"LP62"	"IS03"
"LP63"	"IS03"
"LP68"	"IS03"
"LP69"	"IS03"
"LP71"	"IS03"
"LP112"	"IS03"
"LP115"	"IS03"
"LP118"	"IS03"
"LP120"	"IS03"
"LP121"	"IS03"
"LP16"	"IS04"
"LP20"	"IS04"
"LP34"	"IS04"
"LP35"	"IS04"
"LP45"	"IS04"
"LP46"	"IS04"
"LP67"	"IS04"
"LP70"	"IS04"
"LP72"	"IS04"
"LP94"	"IS04"
"LP98"	"IS04"
"LP99"	"IS04"
"LP100"	"IS04"
"LP102"	"IS04"
"LP23"	"IS05"
"LP38"	"IS05"
"LP53"	"IS05"
"LP59"	"IS05"
"LP81"	"IS05"
"LP82"	"IS05"
"LP83"	"IS05"
"LP84"	"IS05"
"LP85"	"IS05"
"LP87"	"IS05"
"LP89"	"IS05"
"LP96"	"IS05"
"LP101"	"IS05"
"LP105"	"IS05"
"LP107"	"IS05"
"LP19"	"IS06"
"LP25"	"IS06"
"LP26"	"IS06"
"LP31"	"IS06"
"LP37"	"IS06"
"LP39"	"IS06"
"LP40"	"IS06"
"LP41"	"IS06"
"LP43"	"IS06"
"LP47"	"IS06"
"LP50"	"IS06"
"LP51"	"IS06"
"LP52"	"IS06"
"LP54"	"IS06"
"LP55"	"IS06"
"LP58"	"IS06"
"LP60"	"IS06"
"LP61"	"IS06"
"LP64"	"IS06"
"LP65"	"IS06"
"LP80"	"IS06"
"LP93"	"IS06"
"LP110"	"IS06"
"LP111"	"IS06"
"LP113"	"IS06"
"LP116"	"IS06"
"LP117"	"IS06"
"LP119"	"IS06"
