"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"SULT1C4"	"SULT1C4"	-0.73936462494993	-0.10174603056891	0.682718875143665	"IS03"	0.682718875143665
"TMEM246"	"TMEM246"	-0.759278334546654	-0.0837270462672293	0.67976087074568	"IS03"	0.67976087074568
"FOXS1"	"FOXS1"	-0.865667425022474	-0.00253293948801288	0.679456081690391	"IS03"	0.679456081690391
"CCDC102A"	"CCDC102A"	-0.997235588034706	0.102693691382359	0.674126703926001	"IS03"	0.674126703926001
"TMEM191B"	"TMEM191B"	-0.184935408652542	-0.512529135441001	0.671611702265851	"IS03"	0.671611702265851
"YIPF3"	"YIPF3"	-0.905830443160849	0.0365822423127678	0.670638294441115	"IS03"	0.670638294441115
"CPXM2"	"CPXM2"	-1.01970795396297	0.125051691637519	0.66870763180609	"IS03"	0.66870763180609
"ZP4"	"ZP4"	0.162537068584868	-0.772710932710306	0.6674632728354	"IS03"	0.6674632728354
"FUZ"	"FUZ"	-0.802776116376784	-0.0382738077490252	0.667033306352476	"IS03"	0.667033306352476
"PADI6"	"PADI6"	0.164439709398924	-0.771467856522805	0.664697421713348	"IS03"	0.664697421713348
"PTPRN"	"PTPRN"	-0.0297699833604545	-0.617055096298833	0.657770285285489	"IS03"	0.657770285285489
"HSH2D"	"HSH2D"	-0.747180681261557	-0.0708847929155526	0.65709672190463	"IS03"	0.65709672190463
"TAX1BP3"	"TAX1BP3"	-0.554672648225318	-0.21670210543382	0.656515996409933	"IS03"	0.656515996409933
"C19orf60"	"C19orf60"	-0.700342278361708	-0.104931599807217	0.655483520636757	"IS03"	0.655483520636757
"TSPY4"	"TSPY4"	0.170611590801269	-0.766628378263371	0.65489547991388	"IS03"	0.65489547991388
"EGR4"	"EGR4"	-0.074817432434053	-0.575038035741156	0.649787668342785	"IS03"	0.649787668342785
"SNCB"	"SNCB"	-0.250346207758055	-0.437722763827495	0.645834898581274	"IS03"	0.645834898581274
"CGB5"	"CGB5"	0.175191728871383	-0.760971717862369	0.645497820430782	"IS03"	0.645497820430782
"LKAAEAR1"	"LKAAEAR1"	-0.146412475233757	-0.51585745281259	0.644913613274122	"IS03"	0.644913613274122
"TMEM257"	"TMEM257"	-0.199565678484246	-0.469185435762909	0.638482246689905	"IS03"	0.638482246689905
"NFKBIL1"	"NFKBIL1"	-1.06896506995763	0.19484332852027	0.635456976314505	"IS03"	0.635456976314505
"CYP24A1"	"CYP24A1"	-0.616144070332363	-0.148852135239852	0.634812052024615	"IS03"	0.634812052024615
"IFNA16"	"IFNA16"	0.152694233535551	-0.7328623557192	0.634184496217888	"IS03"	0.634184496217888
"FOXD1"	"FOXD1"	-0.517551066843544	-0.222832358404597	0.633794722971237	"IS03"	0.633794722971237
"OR5K4"	"OR5K4"	0.165345439135136	-0.741849581243134	0.633533932577678	"IS03"	0.633533932577678
"OR4F4"	"OR4F4"	0.172235895573767	-0.746659493920188	0.633092239528009	"IS03"	0.633092239528009
"FGF6"	"FGF6"	0.172235900957851	-0.746659493707911	0.633092235100003	"IS03"	0.633092235100003
"TST"	"TST"	-0.655643338421002	-0.115817413269531	0.631727588105598	"IS03"	0.631727588105598
"MAGEB4"	"MAGEB4"	0.278253428001216	-0.82532696896213	0.631089507350689	"IS03"	0.631089507350689
"CIB1"	"CIB1"	-0.408447475578085	-0.301472946099032	0.629351403379189	"IS03"	0.629351403379189
"FHL5"	"FHL5"	-0.229393914721064	-0.436547078522909	0.628243723484084	"IS03"	0.628243723484084
"BRCC3"	"BRCC3"	-0.643470741430918	-0.119274657192424	0.625764977217399	"IS03"	0.625764977217399
"DOK4"	"DOK4"	-1.02055389314681	0.170801439558519	0.622326382588314	"IS03"	0.622326382588314
"GJA9"	"GJA9"	0.352165218398786	-0.868968851107154	0.618174296426639	"IS03"	0.618174296426639
"FREM1"	"FREM1"	-0.89950754246282	0.0833952998404732	0.617558483944747	"IS03"	0.617558483944747
"OR51G2"	"OR51G2"	0.267738559108134	-0.803544689897777	0.61691305049802	"IS03"	0.61691305049802
"MVK"	"MVK"	-1.11982253671926	0.258737622580272	0.609521616433822	"IS03"	0.609521616433822
"PLD2"	"PLD2"	-1.03280811494446	0.193056662365868	0.60902358849848	"IS03"	0.60902358849848
"KCNK9"	"KCNK9"	-0.0810547620920141	-0.527512769392886	0.605796165265064	"IS03"	0.605796165265064
"KCNQ4"	"KCNQ4"	-0.871602322013307	0.0748971644113543	0.604478137067135	"IS03"	0.604478137067135
"CCDC122"	"CCDC122"	-0.480587012384196	-0.22191033891303	0.603945041507346	"IS03"	0.603945041507346
"GRIK1"	"GRIK1"	-0.0672837840903747	-0.53432595589523	0.602034590180323	"IS03"	0.602034590180323
"FCGR3B"	"FCGR3B"	-0.443837514804259	-0.247570815055452	0.601596858722814	"IS03"	0.601596858722814
"ZNF784"	"ZNF784"	-0.839101715026119	0.0537228802829001	0.600839118399816	"IS03"	0.600839118399816
"NLRP6"	"NLRP6"	-0.659541293253181	-0.0820875139968816	0.600092201291128	"IS03"	0.600092201291128
"PEX6"	"PEX6"	-0.988810646949031	0.171179432269632	0.5971181693242	"IS03"	0.5971181693242
"ABCF3"	"ABCF3"	-0.63886776709837	-0.0857508388438099	0.587694754361238	"IS03"	0.587694754361238
"ZNF774"	"ZNF774"	-0.423781278612947	-0.246968771384361	0.585296149433172	"IS03"	0.585296149433172
"UBE2O"	"UBE2O"	-0.819224680499724	0.0542187627487261	0.584787685448377	"IS03"	0.584787685448377
"C19orf33"	"C19orf33"	-0.36396339831505	-0.291957158876473	0.584785300889605	"IS03"	0.584785300889605
"MRPS15"	"MRPS15"	-0.530198108612356	-0.162795706404759	0.581949903319626	"IS03"	0.581949903319626
"ZMYND12"	"ZMYND12"	-0.54339442865312	-0.148541553957902	0.577610908393463	"IS03"	0.577610908393463
"LRRC75A"	"LRRC75A"	-1.03190797801712	0.224346835214628	0.57614532544269	"IS03"	0.57614532544269
"RUNDC3A"	"RUNDC3A"	-0.391183075397673	-0.261617587900544	0.574870938829682	"IS03"	0.574870938829682
"IFI6"	"IFI6"	-0.900798274905782	0.129612130657709	0.571044728420326	"IS03"	0.571044728420326
"TNFRSF12A"	"TNFRSF12A"	-0.939294301100464	0.159171542152121	0.570749371430102	"IS03"	0.570749371430102
"CFD"	"CFD"	-0.853085819511443	0.0941876781980294	0.570164698470901	"IS03"	0.570164698470901
"RNF148"	"RNF148"	-0.560398958228102	-0.127688425256618	0.569464022729901	"IS03"	0.569464022729901
"HAGHL"	"HAGHL"	-1.00904914699412	0.214514773663198	0.56838229404245	"IS03"	0.56838229404245
"FBXL6"	"FBXL6"	-0.591667436053527	-0.101478356464425	0.566961558930996	"IS03"	0.566961558930996
"OR5V1"	"OR5V1"	0.353744863379563	-0.819198960421317	0.56576276612413	"IS03"	0.56576276612413
"HRASLS"	"HRASLS"	0.168623778171504	-0.675160141509958	0.562396510257664	"IS03"	0.562396510257664
"AQP11"	"AQP11"	-0.687106041508549	-0.0240603354512089	0.561977561444196	"IS03"	0.561977561444196
"SERPINB6"	"SERPINB6"	-0.977925615967301	0.198831403281969	0.560173897370728	"IS03"	0.560173897370728
"POU5F1"	"POU5F1"	-0.661983311066107	-0.0404489758456124	0.559186296641488	"IS03"	0.559186296641488
"BAD"	"BAD"	-0.671480284108509	-0.0331920477868761	0.559149813306274	"IS03"	0.559149813306274
"RANBP17"	"RANBP17"	-0.488221104699002	-0.172339912572804	0.558942686892052	"IS03"	0.558942686892052
"UGGT1"	"UGGT1"	-0.560966431897238	-0.116716064578264	0.558625272212809	"IS03"	0.558625272212809
"BPI"	"BPI"	0.0248409281290034	-0.559780011398554	0.556177155596633	"IS03"	0.556177155596633
"VSIG2"	"VSIG2"	-0.300243089561032	-0.308907620154234	0.552392903358849	"IS03"	0.552392903358849
"RASSF7"	"RASSF7"	-0.749651249117952	0.0398456831470742	0.545168603922153	"IS03"	0.545168603922153
"GNG8"	"GNG8"	0.0286504928221505	-0.550122825952322	0.543268411790757	"IS03"	0.543268411790757
"RHAG"	"RHAG"	0.282315663495245	-0.740181239483658	0.540361288344886	"IS03"	0.540361288344886
"SEMA7A"	"SEMA7A"	-0.713495633058705	0.0179638356372127	0.539399351667491	"IS03"	0.539399351667491
"FBXO21"	"FBXO21"	-0.525457010707909	-0.121663779624335	0.535948563652729	"IS03"	0.535948563652729
"CA1"	"CA1"	0.159789923743353	-0.638765370129255	0.531880240937925	"IS03"	0.531880240937925
"C3orf33"	"C3orf33"	-0.945014349452244	0.201923555217994	0.531261563916404	"IS03"	0.531261563916404
"UQCR10"	"UQCR10"	-0.338276116494845	-0.257687899509117	0.529463086305344	"IS03"	0.529463086305344
"LILRB3"	"LILRB3"	-0.751898353122857	0.0618047336006075	0.524345946406015	"IS03"	0.524345946406015
"ARMC3"	"ARMC3"	0.194669941163717	-0.657896376710267	0.524279776837839	"IS03"	0.524279776837839
"CNNM4"	"CNNM4"	-0.554572772114201	-0.0871249063505113	0.523198741465651	"IS03"	0.523198741465651
"VWA2"	"VWA2"	-0.718921336388492	0.0383729105883268	0.522655769448078	"IS03"	0.522655769448078
"NTHL1"	"NTHL1"	-0.713064099149419	0.0361435106908409	0.52036849370429	"IS03"	0.52036849370429
"APOBEC3A"	"APOBEC3A"	-0.453494543569426	-0.157927564164155	0.516970888449526	"IS03"	0.516970888449526
"LAMA5"	"LAMA5"	-0.924190153215264	0.203062473958518	0.513808351284154	"IS03"	0.513808351284154
"VEGFA"	"VEGFA"	-0.445308142059429	-0.153139430766469	0.505646621405611	"IS03"	0.505646621405611
"CRELD2"	"CRELD2"	-0.948902393127721	0.230253737681993	0.505170745227582	"IS03"	0.505170745227582
"PRTG"	"PRTG"	-0.790905158008186	0.113903427598525	0.501273696904729	"IS03"	0.501273696904729
"PCDHGA12"	"PCDHGA12"	-0.924899918286184	0.216944576657319	0.500088882285548	"IS03"	0.500088882285548
"DMC1"	"DMC1"	-0.690757177595525	0.0402907435323722	0.498662630110968	"IS03"	0.498662630110968
"PPAN.P2RY11"	"PPAN.P2RY11"	-0.402326945148487	-0.179021608201351	0.498653939023866	"IS03"	0.498653939023866
"TRIM26"	"TRIM26"	-0.752342008407633	0.0933106601745932	0.492296521944992	"IS03"	0.492296521944992
"CNTNAP3"	"CNTNAP3"	-0.852163816415983	0.169314450624465	0.492193878606326	"IS03"	0.492193878606326
"CCHCR1"	"CCHCR1"	-0.992293441373711	0.289150186026291	0.478536600920962	"IS03"	0.478536600920962
"HEY2"	"HEY2"	-0.697683381292918	0.0681679526715558	0.475413075053711	"IS03"	0.475413075053711
"CEP41"	"CEP41"	-0.360513307836659	-0.18638393160471	0.473530911668723	"IS03"	0.473530911668723
"BCDIN3D"	"BCDIN3D"	-0.697433465641436	0.0706288319911142	0.472687244080956	"IS03"	0.472687244080956
"ABCA7"	"ABCA7"	-0.59995637045167	-0.00293601137118704	0.472115307139903	"IS03"	0.472115307139903
"SLCO1A2"	"SLCO1A2"	-0.568222996427267	-0.0260593391491152	0.471080301012765	"IS03"	0.471080301012765
"AMACR"	"AMACR"	-0.895349289355488	0.224169659502978	0.469554446652063	"IS03"	0.469554446652063
"FAM98C"	"FAM98C"	-0.545067087484383	-0.0389254431375217	0.466204776237531	"IS03"	0.466204776237531
"MAP2K2"	"MAP2K2"	-0.45119364006762	-0.110274122341535	0.466171679156232	"IS03"	0.466171679156232
"AIFM3"	"AIFM3"	-0.75199128411178	0.121336888584371	0.463204022214049	"IS03"	0.463204022214049
"MRPL2"	"MRPL2"	-1.01910473033302	0.326548082041107	0.461045127255798	"IS03"	0.461045127255798
"ZHX3"	"ZHX3"	-0.341250137288241	-0.186015287588938	0.458090283494721	"IS03"	0.458090283494721
"DEFA3"	"DEFA3"	0.385564933118926	-0.738532179339585	0.457936666411268	"IS03"	0.457936666411268
"RACGAP1"	"RACGAP1"	-0.282194335987743	-0.227521165146409	0.45459436367647	"IS03"	0.45459436367647
"FUK"	"FUK"	-0.76640250739873	0.140712803869522	0.454548432458245	"IS03"	0.454548432458245
"UBL5"	"UBL5"	-0.115050058567905	-0.353796444840482	0.453750846683633	"IS03"	0.453750846683633
"CEP295NL"	"CEP295NL"	-1.10059429853666	0.395860370330827	0.453489407696819	"IS03"	0.453489407696819
"STAC"	"STAC"	-0.705910157904514	0.0988455924216649	0.45030084400915	"IS03"	0.45030084400915
"ZNF395"	"ZNF395"	-0.389281452017695	-0.141530280982082	0.44990301118889	"IS03"	0.44990301118889
"NFKBIE"	"NFKBIE"	-0.940680555537957	0.278770944349783	0.448853876371821	"IS03"	0.448853876371821
"SPRY4"	"SPRY4"	-0.443281010009802	-0.096407464947797	0.445726378667754	"IS03"	0.445726378667754
"BAG1"	"BAG1"	-0.209552028288068	-0.271832767464882	0.44336038808369	"IS03"	0.44336038808369
"PAPSS2"	"PAPSS2"	-0.57931717589951	0.0135850581283787	0.438989880660436	"IS03"	0.438989880660436
"LYN"	"LYN"	-0.735709578957505	0.134198840186757	0.437248174978362	"IS03"	0.437248174978362
"FASN"	"FASN"	-0.70765185034686	0.116346931621831	0.433666703299191	"IS03"	0.433666703299191
"SUGP1"	"SUGP1"	-0.558630715068962	0.00560649698778662	0.431019508937494	"IS03"	0.431019508937494
"DPP7"	"DPP7"	-0.270848913746154	-0.213187083039165	0.430984383162808	"IS03"	0.430984383162808
"MOB3C"	"MOB3C"	-0.485710675834231	-0.0486007073095554	0.429743639780721	"IS03"	0.429743639780721
"PIM3"	"PIM3"	-0.848204810231265	0.22885115514851	0.427879131220144	"IS03"	0.427879131220144
"PLXNB2"	"PLXNB2"	-0.9721237873081	0.327103904246722	0.423739946651696	"IS03"	0.423739946651696
"SLC5A4"	"SLC5A4"	-0.211157087616556	-0.248340075859552	0.420458742886209	"IS03"	0.420458742886209
"HK1"	"HK1"	0.0677762820910892	-0.459428531416873	0.419419186742215	"IS03"	0.419419186742215
"POLRMT"	"POLRMT"	-1.00658714528353	0.360876662069722	0.415959091510141	"IS03"	0.415959091510141
"MKNK2"	"MKNK2"	-0.52076132697913	-0.00722178237577266	0.414600855798336	"IS03"	0.414600855798336
"CASP5"	"CASP5"	-0.763676325800331	0.184397919013556	0.407497180042261	"IS03"	0.407497180042261
"PSPH"	"PSPH"	-0.378973070609278	-0.103506875683562	0.402745072306076	"IS03"	0.402745072306076
"GSTM2"	"GSTM2"	-0.647606811970752	0.107354579566004	0.395964928777016	"IS03"	0.395964928777016
"KIF7"	"KIF7"	-0.906427816770479	0.304483953316129	0.395632525028811	"IS03"	0.395632525028811
"HCST"	"HCST"	-0.0108987995911765	-0.375487184142842	0.394620376128676	"IS03"	0.394620376128676
"PRDM15"	"PRDM15"	-0.334986846450181	-0.128656566745938	0.394213388066835	"IS03"	0.394213388066835
"WNT10A"	"WNT10A"	-0.770859077332061	0.203494617623248	0.393476871039062	"IS03"	0.393476871039062
"GPI"	"GPI"	-0.374366430992322	-0.0935934426374642	0.388949618944404	"IS03"	0.388949618944404
"R3HDM4"	"R3HDM4"	-0.31619020618621	-0.131198301757367	0.382130161354076	"IS03"	0.382130161354076
"MAPK11"	"MAPK11"	-0.663142595764757	0.132658004787839	0.38209358843205	"IS03"	0.38209358843205
"SCAI"	"SCAI"	-0.604147499091299	0.09579598321381	0.373870037202257	"IS03"	0.373870037202257
"CHTF18"	"CHTF18"	-0.81192399026333	0.256310508769118	0.371276357645474	"IS03"	0.371276357645474
"C7orf26"	"C7orf26"	-0.87177234774089	0.304205461603022	0.368822328404154	"IS03"	0.368822328404154
"IFT140"	"IFT140"	-0.790073112718213	0.243459706803198	0.367405481644358	"IS03"	0.367405481644358
"STK25"	"STK25"	-0.682223948659653	0.16246037079615	0.366368387278282	"IS03"	0.366368387278282
"FLII"	"FLII"	-0.465456766911069	-0.00180228268176976	0.365786442480054	"IS03"	0.365786442480054
"GRPEL1"	"GRPEL1"	-0.645847372031764	0.138209750168734	0.362862086183218	"IS03"	0.362862086183218
"OR5B2"	"OR5B2"	0.0667099420812018	-0.40167246976713	0.360864642821697	"IS03"	0.360864642821697
"CFAP161"	"CFAP161"	-0.134598108186494	-0.24659795628807	0.358807143989854	"IS03"	0.358807143989854
"PKM"	"PKM"	-0.161586010745294	-0.225300767066147	0.358009488450026	"IS03"	0.358009488450026
"PRKAR1B"	"PRKAR1B"	-0.405564951320577	-0.0383952472697032	0.356585100254067	"IS03"	0.356585100254067
"NUP62CL"	"NUP62CL"	-0.569166579755128	0.0862869589353423	0.356296771613429	"IS03"	0.356296771613429
"NR2C2AP"	"NR2C2AP"	-0.748457879047699	0.224333407254865	0.354534019273778	"IS03"	0.354534019273778
"EPOR"	"EPOR"	-0.554882512929007	0.0771533945466358	0.354519974339654	"IS03"	0.354519974339654
"RAD51C"	"RAD51C"	-0.423244391871311	-0.0219070875984712	0.353454243573461	"IS03"	0.353454243573461
"TRIM35"	"TRIM35"	-0.596546989391239	0.110774664702023	0.352525327783316	"IS03"	0.352525327783316
"SUOX"	"SUOX"	-0.855601400390331	0.322813614646662	0.337044486838807	"IS03"	0.337044486838807
"COPRS"	"COPRS"	-0.849613238846769	0.319413915751327	0.335858216133717	"IS03"	0.335858216133717
"TCFL5"	"TCFL5"	-0.517865752033089	0.0676153335433195	0.335384774018647	"IS03"	0.335384774018647
"ROGDI"	"ROGDI"	-0.0623363398913777	-0.278566738293207	0.33517906694265	"IS03"	0.33517906694265
"MAN2A2"	"MAN2A2"	-0.740578400178403	0.244822428549641	0.327305121507649	"IS03"	0.327305121507649
"RIMS3"	"RIMS3"	-0.289207027768312	-0.0944369470633774	0.323232181771697	"IS03"	0.323232181771697
"ASL"	"ASL"	-0.487204247528872	0.0572904916602064	0.322027663346246	"IS03"	0.322027663346246
"IER5"	"IER5"	-0.566557626264161	0.12263315245375	0.31688350391823	"IS03"	0.31688350391823
"SCAP"	"SCAP"	-0.276027522922308	-0.0942149841488855	0.312699101261187	"IS03"	0.312699101261187
"RHD"	"RHD"	-0.218364262392728	-0.136541983393016	0.311136314171335	"IS03"	0.311136314171335
"LGALS1"	"LGALS1"	-0.630720450933883	0.187387473291178	0.300467059389477	"IS03"	0.300467059389477
"VLDLR"	"VLDLR"	-0.257925402700123	-0.0950669016343566	0.299421335458395	"IS03"	0.299421335458395
"RASA4"	"RASA4"	-0.744866876300986	0.282569982743856	0.291843879721183	"IS03"	0.291843879721183
"GPR63"	"GPR63"	-0.342260653881417	-0.0179456640238431	0.286060973034697	"IS03"	0.286060973034697
"RAB24"	"RAB24"	-0.156475952150276	-0.150285722175329	0.276878979809376	"IS03"	0.276878979809376
"IRAK2"	"IRAK2"	-0.342468292368404	-0.00535992512262443	0.273281899430806	"IS03"	0.273281899430806
"ENGASE"	"ENGASE"	-0.341298429266586	-0.00143526533367015	0.268331628034148	"IS03"	0.268331628034148
"MAGI1"	"MAGI1"	-0.505860153065223	0.12641400148184	0.265537418155539	"IS03"	0.265537418155539
"TRMT112"	"TRMT112"	-0.338608119027105	0.00178914604055759	0.262912581303403	"IS03"	0.262912581303403
"AP2S1"	"AP2S1"	-0.101899087525422	-0.176757176268799	0.261425759829969	"IS03"	0.261425759829969
"C9orf43"	"C9orf43"	-0.447876752709217	0.0899804048094751	0.257664363585942	"IS03"	0.257664363585942
"TOM1"	"TOM1"	-0.630291990872204	0.233180562555727	0.253044811510529	"IS03"	0.253044811510529
"DLGAP4"	"DLGAP4"	-0.388453384598164	0.0504952597661382	0.251803208966137	"IS03"	0.251803208966137
"HIST1H4D"	"HIST1H4D"	-0.0325064727754125	-0.216964401958157	0.248512297466156	"IS03"	0.248512297466156
"GMPPA"	"GMPPA"	-0.572031344656644	0.193787202626304	0.247998391563619	"IS03"	0.247998391563619
"ICAM5"	"ICAM5"	-0.629870397074238	0.238153753891619	0.247601435993402	"IS03"	0.247601435993402
"UBXN2B"	"UBXN2B"	-0.159555270849538	-0.117538413789722	0.245613874213237	"IS03"	0.245613874213237
"ANLN"	"ANLN"	-0.120672839482608	-0.146289000153795	0.244775423927514	"IS03"	0.244775423927514
"AOX1"	"AOX1"	-0.349120273863358	0.0361178108415042	0.235833044865558	"IS03"	0.235833044865558
"CERS5"	"CERS5"	-0.284324997317413	-0.00883520745844843	0.23139408078915	"IS03"	0.23139408078915
"LRRC42"	"LRRC42"	-0.577250867163438	0.214369976524069	0.230914992015721	"IS03"	0.230914992015721
"CFP"	"CFP"	-0.302741276761528	0.00626846043399547	0.230262965412934	"IS03"	0.230262965412934
"EPHA1"	"EPHA1"	0.221581127268072	-0.390364709037976	0.22814600420481	"IS03"	0.22814600420481
"SRD5A3"	"SRD5A3"	-0.132988994676111	-0.113773645703913	0.220970962687954	"IS03"	0.220970962687954
"BOC"	"BOC"	-0.360667973673362	0.0643981789871022	0.215782411312217	"IS03"	0.215782411312217
"RNF150"	"RNF150"	-0.311956073895005	0.0333673809065211	0.209603108859679	"IS03"	0.209603108859679
"UQCR11"	"UQCR11"	-0.439222023466869	0.13144483959532	0.208261112996371	"IS03"	0.208261112996371
"TMLHE"	"TMLHE"	-0.459369399433871	0.14741340181476	0.207594177401451	"IS03"	0.207594177401451
"ITGA2"	"ITGA2"	-0.508477857519198	0.190187435616591	0.202008432698023	"IS03"	0.202008432698023
"SYTL4"	"SYTL4"	-0.331017534980235	0.0646931852731528	0.192295862565993	"IS03"	0.192295862565993
"MOCS1"	"MOCS1"	-0.061321480272033	-0.139345062615031	0.191229363090038	"IS03"	0.191229363090038
"ASS1"	"ASS1"	-0.419984754897306	0.134679475307024	0.18989375005328	"IS03"	0.18989375005328
"ACOX3"	"ACOX3"	-0.161438767371332	-0.0602352634581277	0.18816396292808	"IS03"	0.18816396292808
"MPO"	"MPO"	-0.368073162083759	0.105745795561654	0.179056273903181	"IS03"	0.179056273903181
"ZNF215"	"ZNF215"	-0.118252257791665	-0.0840504268116929	0.1788853201471	"IS03"	0.1788853201471
"MAP2"	"MAP2"	-0.442691997227284	0.16271546082233	0.178819873986488	"IS03"	0.178819873986488
"EMILIN2"	"EMILIN2"	-0.38478737292733	0.121014996369874	0.176424127202709	"IS03"	0.176424127202709
"APP"	"APP"	-0.0913696186224681	-0.0906107280584768	0.164611914209146	"IS03"	0.164611914209146
"TMEM8A"	"TMEM8A"	0.00757756588152168	-0.160189485232896	0.158791801419795	"IS03"	0.158791801419795
"GANAB"	"GANAB"	-0.361966604662562	0.135261767915155	0.143931534608188	"IS03"	0.143931534608188
"TBCK"	"TBCK"	-0.131737727061474	-0.038142115973016	0.142223673960174	"IS03"	0.142223673960174
"UBFD1"	"UBFD1"	-0.299620463211548	0.0978299697148308	0.133673733898489	"IS03"	0.133673733898489
"RERG"	"RERG"	-0.315765434203726	0.111862436278616	0.131868193062656	"IS03"	0.131868193062656
"TBPL1"	"TBPL1"	-0.101809863888488	-0.0469618719555906	0.127892564812074	"IS03"	0.127892564812074
"ATXN10"	"ATXN10"	-0.114783925603643	-0.0330094537180337	0.123690051124797	"IS03"	0.123690051124797
"LRP1B"	"LRP1B"	-0.2458928783173	0.0778964214462733	0.11216187947254	"IS03"	0.11216187947254
"RABL3"	"RABL3"	-0.229604950335354	0.0660532669582792	0.111604460578296	"IS03"	0.111604460578296
"EID2"	"EID2"	-0.273291527772207	0.100445223348242	0.110398396039896	"IS03"	0.110398396039896
"NAPA"	"NAPA"	0.0365959076891465	-0.135063716043712	0.110266977296695	"IS03"	0.110266977296695
"HIST1H2AC"	"HIST1H2AC"	-0.162813276751914	0.0183802747576487	0.108401388213197	"IS03"	0.108401388213197
"FKBP8"	"FKBP8"	-0.153096334263246	0.0123013785789411	0.107054556859801	"IS03"	0.107054556859801
"SCO2"	"SCO2"	0.0736339145512094	-0.148640870977851	0.0952684073310256	"IS03"	0.0952684073310256
"PROS1"	"PROS1"	-0.169877969487577	0.0541652012417145	0.0771289192138428	"IS03"	0.0771289192138428
"MRPL48"	"MRPL48"	-0.0433159429185757	-0.0284214650081417	0.063092725547606	"IS03"	0.063092725547606
