"LP05"	"LP08"	"LP10"	"LP11"	"LP15"	"LP29"	"LP39"	"LP43"	"LP48"	"LP60"	"LP64"	"LP67"	"LP68"	"LP69"	"LP92"	"LP100"	"LP110"	"LP111"	"LP113"	"LP116"	"LP117"	"LP118"	"LP120"	"LP01"	"LP02"	"LP03"	"LP04"	"LP06"	"LP07"	"LP12"	"LP37"	"LP54"	"LP61"	"LP62"	"LP63"	"LP65"
"RRM2"	0.45243503463312	2.39887703652395	1.97520129625359	2.63039736519062	0.0892796865523833	0.254172332137971	-0.418961290063476	1.48151589803088	2.86917025283725	0.210423235961621	-0.124783142318919	1.03946346455077	0.774746624909849	0.0414591835043478	1.13796853182711	2.15864607789019	0.62362575033071	-1.15023582394934	0.329692786479168	0.366484256148202	-0.341205491010938	0.276105320193547	2.58785926689543	-1.24135017003422	-0.698287261332379	0.154743783500116	-0.733049044781913	0.043408308387984	-0.457435046751695	-0.900595371632983	-0.25959161110389	-0.985728492843978	-0.949986604688323	0.132342359973563	0.091573658170601	-1.32151673118929
"S1PR2"	0.0209898249591002	1.14466393898804	1.54067224431437	2.5223823290402	0.384210385382453	0.341304264723304	0.0322829320950834	0.432746462196725	1.23219055527425	-1.28356970851533	1.01338446520644	-0.108967053026424	1.98495059792152	0.285615715578446	0.854539256220253	2.44990345250799	1.33983375420709	0.565573849135051	1.99680232874844	0.313548336806572	0.710015807331679	0.374205290428925	0.230838012560337	1.90117121369423	-0.166521074249678	1.00285209223839	0.900912355068344	0.177950254065058	-0.132630160234486	1.27154378476169	-0.518987536088599	-0.0829330370491614	0.826087098623428	0.0595620269089299	1.21703881734013	0.0385347681580862
"CCNB2"	1.52325028962099	0.20026005055358	-0.185167927114955	0.948061088408604	1.28301162406826	0.667726241553389	-0.879655797533006	0.44981541593158	0.736911631583055	0.339599997120234	1.71606033482444	1.39458416768222	1.5778547961147	1.26999187191296	1.56409934636955	1.45484978095866	0.824076774557481	0.762687540870643	0.451344032440748	-0.110394270853096	0.224397921501305	0.587551107588772	1.51742883816397	0.609283737855464	-0.469058591358096	-0.166718660879271	-0.192922183857068	1.66365425122161	1.67377085172905	0.982714203630951	-0.171744647071475	-0.908464521217648	-1.09617333271962	-0.166434842688189	-0.0755187678394287	-0.142210829829524
"MZB1"	1.96886300924974	-0.772902805405882	0.486520923920823	0.939788855848843	0.833589647854433	1.22094875357135	0.46347621140969	-1.08373160971857	1.82271854513258	1.87640013922759	1.49800803476832	0.512310251823214	0.841270774437616	0.412053811904405	1.08541900602876	1.73566290503534	0.847906027259905	1.07885959584986	0.843819634395442	0.447888844406743	0.416905204095127	0.226626242268988	0.585367024626679	-0.459401062391368	0.930562200426622	1.06626226211803	-1.33800167071808	0.553903843080259	0.3142682865029	0.883637095125843	0.582028421030896	0.181639235377251	-0.595224303107759	-1.16363346823751	0.401869335875659	1.34355351777525
"KIF2C"	1.00121338770921	1.20627296965358	0.809651347393276	1.6651362180554	1.15859282283574	0.664526679787966	-1.13846046917383	1.10981300717127	1.20082406425521	0.949092406169099	0.794093005657289	1.34875184362758	1.15141216173374	0.651415302649981	0.740487305867325	1.39025968234711	-1.20294855000153	-0.192443598187169	1.44640619225268	0.741722756801265	0.884587888532887	0.777915105687629	0.944251850088623	0.796339803561298	0.747278691027494	0.624567293150071	1.07801810822418	1.63512583194538	0.992812681894915	1.04328562916579	-0.234708084736994	-0.142141234134357	1.23374459860148	-0.152618901017092	1.18023428348393	0.721631299361728
"HIST2H2BF"	0.841267293651179	1.21971566229385	-0.327954830371782	-0.818528515516198	1.43447647727927	1.41808293274782	-0.328030829188415	1.16455419550317	1.02428513856663	0.623938708154329	0.746587687209601	1.0703164206237	1.40543959952301	1.3559526017476	1.36421779513528	-0.702977155293128	0.791640448357692	0.631925387979953	0.286606252230153	0.678196215727048	1.23043577827056	1.41839065137554	1.33157502112591	-0.0592889588128545	1.22144432164545	0.876044502970174	0.840161046373084	-0.62590501278948	0.380150791979871	1.28254996070591	-0.151387826267828	-0.448978404901193	0.811411272820975	1.07442133544189	0.805804191980475	-0.680926128423463
"ZSCAN31"	1.25500558978816	1.28549766405047	1.22221325731507	1.37440504831032	1.59210788050112	0.737965435160016	1.11119178060164	0.422376130630374	1.42398024542665	1.57230610182529	0.674235093280618	0.37401305389755	0.0784101684943496	0.470591282504874	0.872208579205941	1.45950344716619	-0.31643242710578	-0.944906800404356	0.940412636612601	0.775573960916977	0.760919475687206	0.127575194414858	0.444852142859735	1.07804934447671	0.764119535475573	1.03200736377181	0.863567600150892	0.785204428663382	0.966797492543939	-0.137183837277032	1.32855700060521	-0.798800282182182	0.910433848564187	0.410627445851629	0.610120917476866	0.39410197857266
"MND1"	0.998168421564289	1.31195637913589	1.0546614832058	1.50754476437841	0.308317286021528	1.08717525792689	0.974710503141309	0.563376106010497	0.86941421715403	1.1177591652364	0.279936524193404	1.22867971503897	1.09234143702246	-0.700011953495841	1.47301832683484	1.67923520078969	-0.697950403985409	-0.638925574214668	1.10643011575918	0.470901294812214	0.95690474943442	0.602387243041325	0.953543080520636	0.633726950328619	0.536151569540135	-0.326357748964352	0.217948229275631	1.70757460236685	1.03214777701976	0.182612794701467	-0.214614567129135	0.727233739885504	1.03275733225354	0.518176511953315	-0.476152744942281	0.966019252967073
"E2F8"	0.677593897040268	1.12370007980843	0.37620837323594	1.53761250025018	-0.0139978768340199	0.529194957996593	0.341001503023467	1.37323545944477	1.44732897347653	1.29616299920825	0.309942626354891	0.904110404925752	0.762829592977107	0.780839843212651	0.504769101573544	1.68130613656423	0.338215022141349	0.111795542797695	-0.473797132506459	1.10013525583492	0.976078037836997	0.665912360628668	0.929972478260123	-0.552641407710661	-0.519298472400661	-0.640202074594699	0.43760855000497	0.608315468764066	-0.226981156725638	-0.756283204330627	1.09222926999122	-0.850539570844131	1.03828620737779	0.0710806675184359	0.747759981758131	0.461779957380416
"E2F2"	0.843160542208236	1.00396778586012	0.0027988620421363	0.773156340360944	0.976394116922292	0.452112499908123	0.900964206857796	0.495433920827559	1.20880445926023	1.03516119386551	0.0383895093641087	0.974880010204951	0.412940522858215	-0.0580493495499394	1.17865640005379	1.05009402959827	1.27046175691949	1.10922325845194	1.12420968834404	0.13893485280806	0.39114976850421	0.557020059001282	0.753768855698255	-0.49206063353562	0.376910658257121	0.457773365095866	0.349550491445685	0.817992927643935	0.41247740969642	-0.320169204413281	1.2147417200428	-0.107995111097919	-0.411610052349906	-0.0684280670697142	1.01903084336236	0.881603903235204
