"LP25"	"LP26"	"LP27"	"LP31"	"LP37"	"LP39"	"LP41"	"LP49"	"LP50"	"LP51"	"LP52"	"LP55"	"LP58"	"LP61"	"LP80"	"LP91"	"LP93"	"LP97"	"LP103"	"LP109"	"LP110"	"LP111"	"LP113"	"LP119"	"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP12"	"LP13"	"LP14"	"LP15"	"LP19"	"LP21"	"LP22"	"LP30"	"LP47"	"LP54"	"LP60"	"LP62"	"LP63"	"LP64"	"LP65"	"LP68"	"LP69"	"LP112"	"LP115"	"LP116"	"LP117"	"LP118"	"LP120"
"ACOT8"	0.945003461037534	0.804941386867676	1.0983511834527	0.755805117752898	0.321344304513662	-0.88260304384879	0.574715641940686	0.701617018362738	1.02963181954839	1.22570301201655	1.0524899583473	0.703596987880835	0.858972016096477	0.936695802019931	1.29895970980199	1.3148668224881	1.59346842449782	0.795027307797057	0.676912764904451	0.994038168366908	0.927834346113441	1.02126178407561	1.10644169048917	0.678028639068677	-1.26393338866292	1.00607179003372	-0.596861370431527	0.638834181742003	-0.352610656801154	0.372079458085396	0.735591850552104	-0.710507596047738	0.605217084144139	0.568525677642257	-0.121341922431205	0.367281595630965	-0.787384561571914	1.1218913043647	-0.527643166366225	-0.982612587985297	-0.543832093407272	0.634530013653381	-0.227246561026576	1.10388527790359	-0.381499703270744	0.655529690307971	-0.706367356397994	0.566687684710999	0.985967480346396	-1.08844237292852	-0.985840096942431	0.0952712960947231	0.591394578258156	0.462458009445842	-0.0046015197180903	-0.483701574819896	0.552127821522128
"DGKQ"	0.573896878292056	0.748574426357199	0.565664898098079	0.859070218790992	0.912807258247482	-0.0395183490245424	0.036400286676364	0.538137297123005	1.2245133009892	1.15950600404119	1.10309739533383	1.03702859787236	1.16508472606371	0.881978560868961	1.42463439562131	1.18017446256282	-0.213413382609929	1.05149530713595	1.21822844697546	0.543738328994454	0.955020840079727	1.17835887731421	0.788672230692196	1.31540888838934	1.02890904792025	0.818004638289967	1.09613201883148	0.854947817862829	0.540314392262785	0.865507187268879	0.660617334952276	0.750477920040181	0.94305999486572	0.223240936681949	-0.938508650735042	-0.198652219920899	-0.353617446696133	1.03152802877072	0.935524205416286	-0.70468425786411	-0.628880817204218	0.692366896573867	0.651874483725458	0.944568844433065	0.847174656241741	0.780548959700915	0.753149178123932	0.521955952527661	1.05925913187045	-0.0464657841361903	0.44472073582278	-0.0814615249224612	-0.556336948878573	0.573706414046225	0.629214003319724	0.492844218132354	-0.0700897266673494
"PPM1F"	0.959969414050019	0.869463618341726	0.480880521740405	0.516461379750865	1.09158204321603	0.949975849129044	0.822173560209659	-1.37786585846114	1.19971988525688	1.19638880868039	0.939556137672101	0.706094200362754	1.03055641484155	1.24226734533095	0.818733384570166	0.937781860049233	0.945600598015448	0.824356898004745	0.826435795434233	0.93425239179239	0.777361341987938	1.25892523708936	0.725481928985181	1.0957709895274	1.08651256208567	0.932218005548864	-0.878565517851542	0.95535809383182	0.882670123151388	0.634438000731072	0.908785489182484	-0.891138936592448	1.11299897664736	-0.29021480944556	-1.18480806053209	-1.03016900776963	-0.833356463896589	0.985279559054842	0.669406235713644	-1.42994969905567	-0.692172351561573	-0.254369011194227	-0.374817633354986	0.931646917415905	-0.862587268234441	0.997347282703885	-1.92261052337867	1.02589425908571	0.792781122228442	-0.782278765364178	-0.334326072179004	-0.464878784727965	-1.11196537256015	1.03092053328903	-0.874935118193089	-1.33397731624613	-0.889967156073765
"ZBTB42"	0.680010015139988	-0.754255382446341	1.03799735171321	1.08932809827537	0.444011636422241	-0.469370671631409	0.315479463167046	0.625235091735412	1.32465860412897	0.741353644093855	0.94404391792902	0.758280099996244	1.04023826764555	0.893631054801316	1.58918754511499	1.07197705821547	1.30024598549682	0.936609123324865	1.46819985347487	-0.747339813311262	0.938192624613632	0.999310760140641	1.24080487396346	2.10239660895038	-0.251574660584998	-0.819828515489716	0.21466278962756	0.772193506137261	-0.49527241301101	0.427258315420415	1.48538743684973	-0.737409136958369	-0.121977576098892	-0.842178952864515	-0.881285735214305	1.005757125576	0.676643716188064	-1.20360094497158	-0.712754907594959	0.586450073647607	-0.813550205256812	-0.30199938645617	0.987060101993651	0.880920685578208	1.33523734903612	-0.415621503339962	1.31511098615202	0.287924499685967	0.692347762915515	-1.03109523883417	-0.394050395824782	0.580859078165918	-0.997986824194109	1.21012838543266	0.919132607275186	-1.18259966279726	0.296984005420175
"PRR5"	0.68070699738997	0.938664583784829	0.771748972737535	0.583890306174475	0.791202205812373	0.931692591493686	0.441181257143012	0.687910246160072	0.87034399510365	1.06135496181832	1.29663311136269	1.26974569773814	1.12547337689694	1.17968555645927	1.27815979716719	-0.303474025590632	0.813230288566215	1.04515064272714	-0.647907963384865	0.568912648653159	0.689683535777053	0.886460568906131	1.15899679655724	1.09307666107413	1.22941513765256	0.333838940610479	0.687185453801378	0.869239879133011	0.474305354651351	0.905021831535493	1.12530679822151	0.923028740716942	0.877943967998463	0.244640839248246	-0.764892688716456	-1.15143709914284	0.832844185661172	0.695830401007561	-0.120735719366061	-0.780943190657803	-0.419236122328439	0.334847733800846	-0.892625690918574	1.04839713221418	1.02984422626618	-0.448883117106488	0.869721282902439	0.888615457447687	1.00481308042935	-0.771978124651748	-0.0369860230611499	-0.542426377086894	-0.0513579637377721	-0.00555325507815225	0.437491510907746	-0.477037260125756	-0.361660917288338
"C21orf58"	0.934114957900696	0.847641474434123	0.842946676159846	0.900943587379028	0.682875420663872	0.788788915924589	-1.18511456943003	1.04921549076559	0.609578754527682	1.11246472801385	1.16803143232635	0.703361402944645	0.991018752083615	1.01770035237066	1.1996441827276	-1.1966944420229	1.57727677859331	1.17015088290571	0.603151746207818	0.652685258854559	1.08698041632721	1.099565004718	0.987445101984969	1.14501029359862	0.945710351007588	1.07445801879878	0.728479678360114	0.869788936071907	0.930478741987825	1.13813856431683	0.779975929635402	1.06920962022447	0.852359360274773	1.06577192841036	-0.36750925672188	-1.26622132141994	0.685384438774216	0.754316580863056	0.655005917826088	-0.830442732932312	-0.180607708009642	0.731456335518011	-0.919751693969784	0.928112019111812	1.1881935786093	0.617668184714334	0.737435288567404	0.858904368152258	0.902090624844483	-0.950524099297202	-0.408955929179489	-0.760560508791957	-0.598496064207066	0.689599872165789	-0.251229543546457	-0.607459555883162	-0.33849599660983
"CPT1B"	0.708289629455052	0.111486840043869	0.777162546664943	0.812893604850852	1.2265339491829	0.0393520389494661	0.544623448136315	1.07401811580765	1.40176231923503	0.980606462129054	1.52615239256061	0.830352907055855	0.962135225418787	0.21140423130005	1.35547032555312	0.764418550757876	0.534109042004338	-0.990098009364776	0.643385630681594	1.34669436493377	-0.534128750133164	1.14819906667777	1.44206851774236	1.3766711547076	-0.806356146414403	1.0838169965301	0.338195805198704	0.610265597592802	0.892471467296682	0.544231795199585	1.10217805010057	-0.521462466165247	0.149961151275777	0.659643162634681	-0.890891518972993	-0.367474888655639	-1.46179292248072	-0.669762203233344	0.638232999241412	-0.654945269847321	-0.89902358747372	0.270227301002957	0.469660543958238	0.457539012248007	1.52238570816077	1.19039574964612	1.48092628189618	0.358640422812857	0.994981500976719	-0.17988074062461	0.727025038634012	0.533081940855752	-1.28887589072705	0.424642722794958	-0.497557435388551	0.332554964825725	0.501145881414863
"H6PD"	0.976209087172073	0.884342345078098	0.492055618483806	0.543923972142024	0.976984387318169	0.763942589302151	1.3583681424087	0.8617335913715	2.03893697643621	0.629837206869732	0.480449988835387	0.474402029903046	-0.149772435636629	0.617275311729195	1.38398710760396	0.944169679046671	-0.790443657375796	0.26612462827688	1.08527619835392	0.382034030401708	0.357006890026883	0.761509390583385	1.26323690011184	1.67067675318322	0.546517397392332	1.0510738086799	-0.715296984122888	-1.14575342159448	0.589228419076852	-1.51231161440192	-1.27523722525567	1.29012442128158	0.957577050825753	-1.46681664912292	-1.42067040448271	-1.40568098942022	-0.669867103940261	2.2544721090015	0.455724078512208	0.352016369244333	0.445336403243013	-0.370980993592716	0.733817613188909	1.18672339873241	0.746231456618718	0.804546524170595	-1.09124481509928	0.884347567576246	0.637339591435211	-0.241808395582645	0.715485844562195	0.370638769977109	-0.115332271652835	0.499411263876792	1.19874883600864	-0.696721699313609	-1.62525348639241
"P2RY11"	0.706154130261699	1.03713136763147	-0.966076776559483	0.930325641098442	0.875714759997564	0.512573246280754	0.979661984538803	0.383834009913006	0.879943929314539	1.28507097903689	1.22758804012614	1.02058922730842	1.23057089012214	1.1147954135045	0.495122557459759	0.753580224556795	-0.345339101266134	0.907769909811896	-0.754435397289782	0.792841603613679	0.748593226865764	1.27630362244916	1.22482202229239	1.41384399173808	1.00009884056603	0.828622415752498	0.828184407133217	0.980258241606399	0.904412274186175	1.21264542004436	0.99674418765723	0.751610314823809	0.881827380199228	0.780082422641168	1.0016224751368	0.0951615759917917	-0.37631776347777	-0.389754488938519	-0.30013520342139	0.628073373633213	0.546598072779798	0.466013505857685	0.658896687142449	1.42789882521385	0.714814640869628	0.865324833931444	0.761800647179944	0.118718417108453	0.906240382404707	0.129785243157254	0.571626572510546	0.696943283672292	0.56441818120794	0.916658324274119	0.549268829252165	0.448442444323118	0.443030699434885
"TCIRG1"	0.642938564440179	0.906746348837015	-0.109813282886234	0.798004336110867	1.23098641847741	0.166339103746001	0.481637121963534	0.100167506789071	1.50216620482384	0.12824614525301	1.03652930007007	1.53565696538018	1.08525953320689	0.123978296915382	1.44047478565182	0.128529412195825	1.0748133987062	-0.228614409575637	-0.520562823795057	0.583753744206785	1.09848202459084	1.39071254721513	1.54187037796662	1.29956139060076	-0.185511836852932	1.00832092503397	0.63450590090313	0.277966868637585	-0.15646157272996	-0.120930962955403	0.00786840804401549	0.490140516486831	0.297169058523905	-0.118098003495272	-0.19748407471715	0.0836738344720587	-0.0841347377918002	1.52923082588827	0.494313853069623	0.0845610975870682	-0.155642829034699	0.531192296786548	1.14320473896115	0.649145569749201	1.10990200649566	1.09126494556483	0.994293023267625	0.283424893284892	1.4101702669413	0.0815430430433176	1.05809010805219	0.391971261767332	-0.0998636922799718	1.02790066788499	-0.244217466716627	0.174513256375361	0.459759429526297
"TMUB2"	-0.686518717895771	1.11470930107737	0.842151206836992	0.747737841152721	1.14855954689251	-0.872431181165906	1.16574813359904	1.08680446411608	1.00535245703908	1.04455984552517	1.13910638574527	0.992380869796938	1.03915140195311	0.982664712635058	-1.09321871670023	1.11058901914578	1.42870762363864	0.657173990459728	0.789006649449437	-0.606102910967538	1.03603107181634	0.919194321792639	0.793529054298268	1.15031419781858	0.914985163185395	1.04662118906206	-0.90391251164543	0.893152535770009	-0.806690788665266	-1.00722749434527	-1.01724422096191	0.99442138644145	-0.759884026449543	-0.931708338412273	0.760658992017743	-0.96406127579545	-0.675605945146225	0.925572889244853	0.812992308967511	-0.989974133102135	-0.897437867379636	0.781199324342076	-0.811683117879048	1.06847902045546	1.14596924575591	-0.630357032334118	0.947006497659898	0.961460935689897	0.935813989822163	0.772817488264287	0.862483948062075	0.941508335726833	-1.03915015026535	0.70068704447721	0.928675261605482	0.621147049254651	0.331534967507242
"TNFAIP8L1"	0.519082924445458	1.39158996044975	-0.0221265111563754	0.730969401289021	0.85180572943945	0.878159237708306	1.22517549008883	-0.415035776879144	1.09719192689553	1.61034496155165	1.32984304119002	1.13571373255966	0.358103150444035	1.01092669427064	-0.322750970673616	1.17588388671768	-1.06255662603748	0.316449189014732	-0.333360479343316	0.394404638679849	1.08037169890369	1.003611138462	1.41759637618294	1.24867615680078	0.484467014734051	1.16896791819235	1.1503447548199	1.02528327414334	1.04407203594006	0.842394408451352	0.918962218487164	0.882479383270948	0.829345836259242	1.07461219468289	-0.256491897354871	-0.809614179788233	-0.592327969659431	-0.545047466469642	0.130385488261595	-0.849659820354225	0.505189330897789	0.578435700092917	0.86531265584223	1.06251561911982	0.71224412667751	0.373374388900855	-0.00784112237686621	1.1293153613216	1.32086160168103	-0.175990387234696	0.383906139761143	0.512792788849987	-0.71936871327525	0.0896716462042035	-0.691296778276453	-0.445066422015328	-0.62601332619316
"PNPLA6"	-0.570350853295033	0.655311312123782	0.593638196321973	0.913230741520617	0.973017004990847	-0.219570454346131	0.663932808318097	0.543174573188563	1.3036175755178	0.524852632577948	1.02615287681734	1.08706920400314	0.944166428453148	0.753743524848105	1.03944229797455	-0.632490348401785	1.29205049817795	-1.25232115656791	0.860902016466464	1.15745001460991	0.804533218092299	1.26044338933661	0.945843598380032	1.88772411255803	-1.2475724136537	0.735932422715266	0.69569918740108	0.315736028691344	0.77765032566264	-0.783104970168586	-0.508766280350846	-1.46128665348871	0.750139451422518	0.487160219046385	0.633691687219966	0.697554717760126	-1.43516999807421	-1.31897438479243	0.873255422254599	0.922211983959564	-1.31061186691416	-1.05085562486824	0.830930603541705	0.690919301615273	1.0784922684973	0.55810388953445	1.21749198834097	1.03279684761358	1.05118090188967	-0.556755995563255	0.666711614651581	0.48468113610215	0.836802149320326	0.909086670637402	0.625091344541854	0.443309026715764	0.675807631978418
