"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"ACOT8"	"ACOT8"	1.09711194670172	-0.819757674954824	0.0564521893754199	-0.29728967697377	"S01"	1.09711194670172	"IS01"
"DGKQ"	"DGKQ"	1.0797710924228	-0.951283231388146	0.632832339972711	-0.809476852429523	"S01"	1.0797710924228	"IS01"
"PPM1F"	"PPM1F"	1.05644102366075	0.108767293031762	-0.15171473170735	-0.904720170059888	"S01"	1.05644102366075	"IS01"
"ZBTB42"	"ZBTB42"	1.04566402617354	-0.690321942696757	0.107403783034903	-0.430373632151025	"S01"	1.04566402617354	"IS01"
"PRR5"	"PRR5"	1.02655146389584	-0.617589247933561	0.347104085382167	-0.753281215820018	"S01"	1.02655146389584	"IS01"
"C21orf58"	"C21orf58"	1.00391044284097	-1.02452015815872	0.466000378036523	-0.481126431516647	"S01"	1.00391044284097	"IS01"
"CPT1B"	"CPT1B"	0.977450212193261	-0.945901442187156	0.306146623464997	-0.350235382082854	"S01"	0.977450212193261	"IS01"
"H6PD"	"H6PD"	0.976312291052571	-0.776503495130026	0.0854609054098233	-0.259871582990979	"S01"	0.976312291052571	"IS01"
"P2RY11"	"P2RY11"	0.947390571473484	-1.62301114787392	0.895712952775176	-0.348148798929907	"S01"	0.947390571473484	"IS01"
"TCIRG1"	"TCIRG1"	0.931728954993659	-0.778005419153752	0.606357335149638	-0.807434455519186	"S01"	0.931728954993659	"IS01"
"TMUB2"	"TMUB2"	0.904871010744346	-0.694082596646103	0.256951883226249	-0.466485425516298	"S01"	0.904871010744346	"IS01"
"TNFAIP8L1"	"TNFAIP8L1"	0.888033096980121	-0.827387425309716	0.493986253027005	-0.593040400759155	"S01"	0.888033096980121	"IS01"
"PNPLA6"	"PNPLA6"	0.88458646572139	-0.567826126384606	0.361479230870472	-0.685958191367257	"S01"	0.88458646572139	"IS01"
"UPF1"	"UPF1"	0.872000771188641	-1.11370243620177	0.473682114241505	-0.283695212158451	"S01"	0.872000771188641	"IS01"
"TRPV2"	"TRPV2"	0.861189966527428	-1.20035135687117	0.759464619417906	-0.515278657536855	"S01"	0.861189966527428	"IS01"
"PIEZO1"	"PIEZO1"	0.860392170256514	-0.918087511062352	0.617857453302352	-0.621862126004808	"S01"	0.860392170256514	"IS01"
"CYSLTR2"	"CYSLTR2"	0.852328908166165	-1.11598512745068	0.1147187519253	0.143226361860342	"S01"	0.852328908166165	"IS01"
"ATAD3B"	"ATAD3B"	0.846677948815175	-0.970287561189631	0.699439915314255	-0.652129378813408	"S01"	0.846677948815175	"IS01"
"ADAM8"	"ADAM8"	0.844475114625028	-0.583628230158564	0.497555689976074	-0.788157010371303	"S01"	0.844475114625028	"IS01"
"CLN3"	"CLN3"	0.83426060011386	-0.590271735295655	0.3253276227349	-0.577345373952361	"S01"	0.83426060011386	"IS01"
"TRPV1"	"TRPV1"	0.82409846440215	-1.24234945074129	0.673786718887153	-0.344211432607347	"S01"	0.82409846440215	"IS01"
"FBXL17"	"FBXL17"	0.817082323756964	-0.686547234076277	-0.12225859759382	0.0368228608226184	"S01"	0.817082323756964	"IS01"
"ZC3H12A"	"ZC3H12A"	0.790955212725971	-0.436601164017914	0.497206310776234	-0.877904072696548	"S01"	0.790955212725971	"IS01"
