"IS01"	"IS02"	"IS03"	"IS04"
"GZMK__pos"	3.01218286677414	0.588935112575621	4.48960166610639	7.52079239432081
"VAMP5__pos"	2.04040602967405	0.965720875531613	9.67465762534029	1.79924151278182
"LINC00116__pos"	1.94781465291485	2.22044604925031e-16	6.19732749936288	5.89022175200059
"GZMH__pos"	1.61290777921658	1.47965378175991	6.32486210978244	4.4956513293639
"HSP90AB1__pos"	2.22044604925031e-16	2.22044604925031e-16	9.26114375872099	4.56688131432025
"NDE1__pos"	2.22044604925031e-16	5.54169957838511	1.43382463505854	6.50469386705403
"TMED9__pos"	2.22044604925031e-16	0.79942224238494	10.0377838357059	3.22578055423314
"BOLA2B__pos"	2.52819203838061	2.22044604925031e-16	10.9904903671593	1.38686791277745
"HIST2H2AA4__pos"	2.22044604925031e-16	0.660962907747725	9.92898048555857	3.43135448169584
"CRIP1__pos"	1.00265919520036	0.866027834956054	10.575740894126	1.56395532607169
"LY6E__pos"	4.07788761537105	2.22044604925031e-16	9.09686117835239	2.24141550152307
"ISG15__pos"	0.0769056235451084	0.192889124168963	9.77582783489525	3.50843271269858
"GZMA__pos"	1.96931543472926	0.655135694092125	5.78935638241869	6.67891233833186
"MRPL12__pos"	1.50377811932578	0.155752600679587	10.418338168114	1.8492144303526
"EIF4EBP1__pos"	2.15374254877841	2.22044604925031e-16	8.38585753644415	4.69081562412189
"BPNT1__pos"	7.72859307779196	1.11056819938169e-05	4.8523382077783	5.27222399746578
"CCDC124__pos"	1.44417019840831	2.22044604925031e-16	11.9541188531625	1.08154066172803
"ATAD3A__pos"	4.42597426222105	1.64765115973964	8.99490640360466	0.0723564495220838
"RPL26L1__pos"	0.228168484825804	2.22044604925031e-16	8.19227039780957	3.87354421523201
"CCL4L2__pos"	3.89483109748071	0.648275913295303	4.5173389573049	5.67593845987569
"PSMD8__pos"	0.82232632164988	2.22044604925031e-16	10.1913332909391	3.49423808632858
"GZMB__pos"	2.26703883022749	0.302998225963628	9.81904737099642	4.02209387916047
"CD8B__pos"	3.86466841764174	2.22044604925031e-16	6.26625203241004	4.24125672041531
"ITIH4__pos"	9.39065113951658	5.64837567282398e-11	6.43730031442593	0.633520661355927
"EIF6__pos"	0.734382439432228	1.49919067646603	11.9145431345224	0.239545199107735
"CHRNB1__pos"	5.26380782074239	1.00860009412753	7.4846853880613	1.93406394258436
"ACOT8__pos"	13.0438404250092	0.369977145549117	3.65100224501701	0.919465415509972
"TMEM141__pos"	6.77101274104164	0.673705040811479	7.37623006588957	1.44801507185883e-07
"CENPB__pos"	2.59322868281214	2.22044604925031e-16	11.3781947510052	0.462074455248282
"HIST1H2AK__pos"	3.40454380598274	2.22044604925031e-16	10.0184501125978	1.13682218426298
"HMGB2__pos"	2.22044604925031e-16	2.22044604925031e-16	8.91764696359657	4.9814853474479
"TMSB10__pos"	2.22044604925031e-16	2.22044604925031e-16	10.0908095708121	5.02052714107186
"DGKQ__pos"	12.3113255704039	2.22044604925031e-16	4.83990527082272	2.22044604925031e-16
"VAMP8__pos"	0.189402290710304	2.70650580101235	9.87579205825704	2.28060101626284
"STX16.NPEPL1__pos"	8.74728901737054	0.0389357642797899	5.03622776493171	4.11365730874797
"CLK3__pos"	2.22044604925031e-16	4.25770087266163	0.268627358993996	7.06036512413307
"JMJD7__pos"	6.78074828381213	0.0977225459904572	6.16460890488305	2.61576402912588
"HIST1H2AB__pos"	2.22044604925031e-16	2.22044604925031e-16	9.46867872897636	4.33347225756039
"CENPV__pos"	4.60280153496641	0.621292223701877	6.37712823923765	5.00014269635139
"ATP5I__pos"	2.22044604925031e-16	2.22044604925031e-16	9.26273664551366	4.56898422117864
"KLRD1__pos"	4.33663900648542	2.17710537233048	3.29557519760345	7.90308171802447
"POLR1D__pos"	5.55527321728331	1.42223328589626	6.72824738149608	3.10549901016544
"FBXO15__pos"	3.13787662125035	3.28812348026856	4.23659904034521	4.89502513285064
"FAM196B__pos"	3.83292176847509	1.92299707022899	6.4353051986996	5.99841775046851
"MTHFS__pos"	2.44612919039806	2.22044604925031e-16	7.9859887654497	5.11457180324293
"SKIV2L__pos"	10.7041721383577	0.631871591522292	4.53988818514142	1.37028785769784
"ZNF414__pos"	7.57983453972671	2.22044604925031e-16	7.70206673175769	0.917621632626209
"RRP9__pos"	2.35455376627895	0.851033321759715	9.87151306426472	1.51116433719806
"FGL2__pos"	1.15012201913875	2.22044604925031e-16	7.26197041071705	8.13669565598295
"HIST1H4C__pos"	2.22044604925031e-16	2.22044604925031e-16	11.0384079613692	4.04110992830342
"CTR9__pos"	1.94335744033435	2.22044604925031e-16	8.8466214673089	5.00572105158611
"CBX4__pos"	5.20029956374719	0.0498729726053806	10.2364797712815	2.22044604925031e-16
"FKBP2__pos"	1.29122102406028	2.22044604925031e-16	10.5343491407648	2.42099748184211
"HSP90B1__pos"	2.22044604925031e-16	2.22044604925031e-16	8.97656111024101	6.89774921169944
"PTMA__pos"	2.22044604925031e-16	0.312260712200527	8.1722433224453	4.87960303379765
"ASNA1__pos"	2.2871280106879	1.53557240561156	11.2116900933406	0.906847116363823
"RRM2__pos"	1.68636042334558	1.0607543199647	5.77626696158456	7.77318608769922
"KPNA2__pos"	1.72903759593633	2.22044604925031e-16	6.38690261902243	7.3987846859817
"NFKB2__pos"	7.21482770638015	2.22044604925031e-16	8.76478000737702	2.22044604925031e-16
"GNPDA1__pos"	3.58830084167582	0.99310147446352	5.8473526712442	6.84373377145871
"BLOC1S1__pos"	0.00850241891181537	0.574108041507011	12.9459501789515	0.980062141045402
