"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"ACOT8"	"ACOT8"	1.09711194670172	-0.819757674954824	0.0564521893754199	-0.29728967697377	"IS01"	1.09711194670172
"DGKQ"	"DGKQ"	1.0797710924228	-0.951283231388146	0.632832339972711	-0.809476852429523	"IS01"	1.0797710924228
"PPM1F"	"PPM1F"	1.05644102366075	0.108767293031762	-0.15171473170735	-0.904720170059888	"IS01"	1.05644102366075
"ZBTB42"	"ZBTB42"	1.04566402617354	-0.690321942696757	0.107403783034903	-0.430373632151025	"IS01"	1.04566402617354
"PRR5"	"PRR5"	1.02655146389584	-0.617589247933561	0.347104085382167	-0.753281215820018	"IS01"	1.02655146389584
"C21orf58"	"C21orf58"	1.00391044284097	-1.02452015815872	0.466000378036523	-0.481126431516647	"IS01"	1.00391044284097
"CPT1B"	"CPT1B"	0.977450212193261	-0.945901442187156	0.306146623464997	-0.350235382082854	"IS01"	0.977450212193261
"H6PD"	"H6PD"	0.976312291052571	-0.776503495130026	0.0854609054098233	-0.259871582990979	"IS01"	0.976312291052571
"P2RY11"	"P2RY11"	0.947390571473484	-1.62301114787392	0.895712952775176	-0.348148798929907	"IS01"	0.947390571473484
"TCIRG1"	"TCIRG1"	0.931728954993659	-0.778005419153752	0.606357335149638	-0.807434455519186	"IS01"	0.931728954993659
"TMUB2"	"TMUB2"	0.904871010744346	-0.694082596646103	0.256951883226249	-0.466485425516298	"IS01"	0.904871010744346
"TNFAIP8L1"	"TNFAIP8L1"	0.888033096980121	-0.827387425309716	0.493986253027005	-0.593040400759155	"IS01"	0.888033096980121
"PNPLA6"	"PNPLA6"	0.88458646572139	-0.567826126384606	0.361479230870472	-0.685958191367257	"IS01"	0.88458646572139
"UPF1"	"UPF1"	0.872000771188641	-1.11370243620177	0.473682114241505	-0.283695212158451	"IS01"	0.872000771188641
"TRPV2"	"TRPV2"	0.861189966527428	-1.20035135687117	0.759464619417906	-0.515278657536855	"IS01"	0.861189966527428
